train/actor_loss,time/episodes,time/total_timesteps,train/learning_rate,time/time_elapsed,rollout/ep_len_mean,train/n_updates,time/fps,rollout/ep_rew_mean,train/critic_loss,train/ent_coef,train/ent_coef_loss,eval/mean_reward,eval/mean_ep_length
-30.70107078552246,4,4000,0.0003,36,1000.0,3899,110,-281.77844125,1.0232374668121338,0.3129774034023285,-10.982973098754883,,
-29.061447143554688,8,8000,0.0003,73,1000.0,7899,109,-254.03334675000002,1.290086269378662,0.09967997670173645,-17.4340763092041,,
-21.36571502685547,12,12000,0.0003,110,1000.0,11899,108,-227.66946008333332,0.6952086687088013,0.0338154099881649,-15.931821823120117,,
-14.13784122467041,16,16000,0.0003,149,1000.0,15899,107,-211.8061624375,0.6608061790466309,0.01286368165165186,-7.467911720275879,,
-8.335348129272461,,20000,0.0003,,,19899,,,0.5942771434783936,0.006559820380061865,-1.1528069972991943,-115.33220118000172,1000.0
,20,20000,,187,1000.0,,106,-182.62121665,,,,,
-4.729012966156006,24,24000,0.0003,225,1000.0,23899,106,-168.293148625,0.7550969123840332,0.005303529091179371,-1.0713651180267334,,
-2.08967924118042,28,28000,0.0003,262,1000.0,27899,106,-145.59281982142858,0.5505344867706299,0.0047949873842298985,1.6095774173736572,,
-0.47829297184944153,32,32000,0.0003,299,1000.0,31899,106,-115.620797875,0.5929930210113525,0.004948395304381847,-1.9352076053619385,,
0.07413554191589355,36,36000,0.0003,336,1000.0,35899,106,-81.40612272222221,0.6509425044059753,0.005789490416646004,-0.5175995230674744,,
-1.6559795141220093,,40000,0.0003,,,39899,,,0.8763982057571411,0.007783140521496534,1.9602882862091064,512.9499467206304,1000.0
,40,40000,,373,1000.0,,107,-39.276799274999995,,,,,
-4.519083023071289,44,44000,0.0003,409,1000.0,43899,107,6.377796909090913,0.7231318950653076,0.011933454312384129,0.2860235869884491,,
-8.031961441040039,48,48000,0.0003,445,1000.0,47899,107,44.06163906250001,0.8933695554733276,0.01323956809937954,-1.6390209197998047,,
-12.058624267578125,52,52000,0.0003,481,1000.0,51899,108,85.10028213461538,0.8371713161468506,0.013909718953073025,2.021646499633789,,
-15.784892082214355,56,56000,0.0003,516,1000.0,55899,108,119.37579742857143,1.0098981857299805,0.01469119917601347,-0.30525100231170654,,
-20.120376586914062,,60000,0.0003,,,59899,,,1.0022763013839722,0.01638634130358696,1.3121910095214844,718.5345956817546,1000.0
,60,60000,,558,1000.0,,107,159.60624543333333,,,,,
-23.86135482788086,64,64000,0.0003,596,1000.0,63899,107,193.72100121875002,1.0517494678497314,0.017220839858055115,0.3649490475654602,,
-27.808443069458008,68,68000,0.0003,635,1000.0,67899,107,229.19045289705883,1.1938440799713135,0.01810394786298275,-0.876466691493988,,
-31.424488067626953,72,72000,0.0003,673,1000.0,71899,106,260.4787166944445,1.2020769119262695,0.01899542286992073,-1.0389021635055542,,
