time/fps,time/iterations,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,train/loss,train/learning_rate,train/policy_gradient_loss,train/clip_range,train/n_updates,train/clip_fraction,train/std,train/explained_variance,train/value_loss,train/approx_kl,train/entropy_loss
3149,1,6.65,2048,7.65,0,,,,,,,,,,,
2453,2,9.05,4096,10.05,1,2.954758405685425,0.0003,-0.021877954437513836,0.2,10,0.1716796875,0.9556285738945007,0.00014722347259521484,11.116416943073272,0.019460514,-1.3965882673859595
2324,3,13.55,6144,14.55,2,5.432960033416748,0.0003,-0.031231464122538456,0.2,20,0.197314453125,0.9122089743614197,0.14851289987564087,14.32446762919426,0.019666744,-1.3502144142985344
2280,4,22.61,8192,23.61,3,16.24466896057129,0.0003,-0.03217150429845787,0.2,30,0.2013671875,0.8775872588157654,0.13032913208007812,28.653921979665757,0.024351815,-1.306977017596364
2268,5,30.26,10240,31.26,4,26.19389533996582,0.0003,-0.02058230269321939,0.2,40,0.11611328125,0.8551675081253052,0.07852315902709961,47.78942379951477,0.010550553,-1.2759092666208744
