Algorithm,AUC_Pre,AUC_Post,AUC_Total
DR-PPO,107.73946492927232,15.97139449081013,123.71085942008246
Meta-LSTM PPO,97.98749510341818,38.89122640740726,136.87872151082547
Vanilla PPO,89.24477905849749,20.492062189645132,109.73684124814262
