Algorithm,Step,TrackingError
Meta-LSTM PPO,37,1.2174816636021029
Meta-LSTM PPO,38,1.196861774655479
Meta-LSTM PPO,39,1.252882057327846
Meta-LSTM PPO,40,1.307359634508997
Meta-LSTM PPO,41,1.3711459257796288
Meta-LSTM PPO,42,1.407555199635733
Meta-LSTM PPO,43,1.3377070352538891
Meta-LSTM PPO,44,1.263546900279911
Meta-LSTM PPO,45,1.268228119004184
Meta-LSTM PPO,46,1.3099654848000384
Meta-LSTM PPO,47,1.4092606811082315
Meta-LSTM PPO,48,1.5954849097412507
Meta-LSTM PPO,49,1.7524836699432356
Meta-LSTM PPO,50,0.20914636183830818
Vanilla PPO,1,1.2972561849235458
Vanilla PPO,2,2.310470779862162
Vanilla PPO,3,3.132121561743051
Vanilla PPO,4,3.7898446688512335
Vanilla PPO,5,4.297932920371818
Vanilla PPO,6,4.662194286993385
Vanilla PPO,7,4.894518242210006
Vanilla PPO,8,5.011271568784648
Vanilla PPO,9,5.0323963107726835
Vanilla PPO,10,4.982569082623996
Vanilla PPO,11,4.885693340511902
Vanilla PPO,12,4.7564214012543955
Vanilla PPO,13,4.597648815779374
Vanilla PPO,14,4.408899359814277
Vanilla PPO,15,4.193671073795504
Vanilla PPO,16,3.9582356922734574
Vanilla PPO,17,3.7095737111330385
Vanilla PPO,18,3.454830966191458
Vanilla PPO,19,3.2012552000641756
Vanilla PPO,20,2.9570537829544525
Vanilla PPO,21,2.730499093127061
Vanilla PPO,22,2.519607134371029
Vanilla PPO,23,2.3221663340894567
Vanilla PPO,24,2.13864754600138
Vanilla PPO,25,1.747810344959774
Vanilla PPO,26,1.6549503059960027
Vanilla PPO,27,1.6011282041365167
Vanilla PPO,28,1.5564655887372338
Vanilla PPO,29,1.5138083871017558
Vanilla PPO,30,1.4696337613764112
Vanilla PPO,31,1.422301590683349
Vanilla PPO,32,1.3774772407989229
Vanilla PPO,33,1.3329342315302473
Vanilla PPO,34,0.51940049377133
Vanilla PPO,35,0.5910716085510813
Vanilla PPO,36,0.5439088667315828
Vanilla PPO,37,0.49807802037537796
Vanilla PPO,38,0.46259504590506034
Vanilla PPO,39,0.4371323641332032
Vanilla PPO,40,0.4184587857114569
Vanilla PPO,41,0.39698425837371987
Vanilla PPO,42,0.37922399356721737
Vanilla PPO,43,0.36316960568951434
Vanilla PPO,44,0.3489964730853827
Vanilla PPO,45,0.33672174140648037
Vanilla PPO,46,0.32594954433311235
Vanilla PPO,47,0.3158169833385084
Vanilla PPO,48,0.3055996240356059
Vanilla PPO,49,0.2949639752845151
Vanilla PPO,50,0.27748115003177326
