Algorithm,Mass,RewardMean,RewardStd
Vanilla PPO,3.0,-4.166399534771335,1.512262055664969
DR-PPO,3.0,-4.50816428270191,1.1638042666998698
Meta-LSTM PPO,3.0,-4.772362808021716,1.4745075774574146
