Algorithm,Mass,RewardMean,RewardStd
Vanilla PPO,1.0,-4.639005175209604,1.3326207726796995
DR-PPO,1.0,-4.856664569652639,1.9722938239389916
Meta-LSTM PPO,1.0,-5.588649527076631,1.6749487451755964
