Algorithm,RewardMean_Std,RewardMean_OOD,Delta_OOD_minus_Std
Vanilla PPO,-4.639005175209604,-4.166399534771335,0.47260564043826925
DR-PPO,-4.856664569652639,-4.50816428270191,0.34850028695072943
Meta-LSTM PPO,-5.588649527076631,-4.772362808021716,0.816286719054915
