time/episodes,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/exploration_rate,rollout/ep_rew_mean,train/n_updates,train/learning_rate,train/loss,eval/mean_ep_length,eval/mean_reward
304,6653,20.94,1,4676,0.8419912500000001,20.94,413,0.0001,0.02725936844944954,,
308,6738,20.66,1,4596,0.8399725,20.66,434,0.0001,0.040509339421987534,,
312,6821,20.43,1,4525,0.8380012499999998,20.43,455,0.0001,0.0200175978243351,,
316,6897,20.31,1,4450,0.8361962500000001,20.31,474,0.0001,0.024340372532606125,,
320,6965,20.06,1,4311,0.83458125,20.06,491,0.0001,0.014636601321399212,,
324,7040,19.99,1,4244,0.8328,19.99,509,0.0001,0.1812724620103836,,
328,7142,20.46,1,4170,0.8303775,20.46,535,0.0001,0.10555101931095123,,
332,7285,20.76,1,4076,0.8269812499999998,20.76,571,0.0001,0.032912880182266235,,
336,7360,19.96,1,4033,0.8252000000000003,19.96,589,0.0001,0.11340795457363129,,
340,7428,19.81,1,3983,0.8235850000000002,19.81,606,0.0001,0.03560343012213707,,
344,7513,19.84,1,3865,0.8215662500000002,19.84,628,0.0001,0.04601772502064705,,
348,7589,19.89,1,3825,0.81976125,19.89,647,0.0001,0.08577151596546173,,
352,7716,20.51,2,3761,0.8167449999999997,20.51,678,0.0001,0.04328349977731705,,
356,7796,20.59,2,3725,0.8148449999999999,20.59,698,0.0001,0.0669897273182869,,
360,7879,20.5,2,3690,0.8128737500000003,20.5,719,0.0001,0.04411419481039047,,
364,7957,20.44,2,3600,0.8110212500000002,20.44,739,0.0001,0.05850007385015488,,
368,8042,20.42,2,3563,0.8090025000000002,20.42,760,0.0001,0.07959885895252228,,
372,8156,20.73,2,3528,0.8062949999999999,20.73,788,0.0001,0.0442829430103302,,
376,8274,20.93,2,3485,0.8034924999999999,20.93,818,0.0001,0.10197065770626068,,
380,8412,21.43,2,3447,0.8002150000000001,21.43,852,0.0001,0.08872489631175995,,
384,8527,21.77,2,3366,0.7974837500000002,21.77,881,0.0001,0.07749105244874954,,
388,8622,22.06,2,3335,0.7952275000000001,22.06,905,0.0001,0.10357768833637238,,
392,8695,22.11,2,3315,0.7934937499999998,22.11,923,0.0001,0.05106336623430252,,
396,8811,22.63,2,3283,0.7907387500000003,22.63,952,0.0001,0.10583188384771347,,
400,8899,22.89,2,3262,0.7886487500000002,22.89,974,0.0001,0.08643369376659393,,
404,9064,24.11,2,3223,0.7847299999999999,24.11,1015,0.0001,0.28552770614624023,,
408,9163,24.25,2,3150,0.7823787499999998,24.25,1040,0.0001,0.11682988703250885,,
412,9261,24.4,2,3128,0.7800512499999999,24.4,1065,0.0001,0.06941073387861252,,
416,9367,24.7,3,3103,0.7775337500000001,24.7,1091,0.0001,0.0787336677312851,,
420,9481,25.16,3,3082,0.7748262499999998,25.16,1120,0.0001,0.042108841240406036,,
424,9632,25.92,3,3055,0.7712400000000001,25.92,1157,0.0001,0.10739293694496155,,
428,9716,25.74,3,3006,0.7692450000000002,25.74,1178,0.0001,0.04524041712284088,,
432,9826,25.41,3,2989,0.7666324999999999,25.41,1206,0.0001,0.12257443368434906,,
436,9965,26.05,3,2964,0.76333125,26.05,1241,0.0001,0.08294518291950226,,
,10000,,,,0.76252375,,1249,0.0001,0.09305278956890106,364.4,364.4
440,10077,26.49,3,2757,0.7606712499999999,26.49,1269,0.0001,0.1561376303434372,,
444,10187,26.74,3,2746,0.7580587500000002,26.74,1296,0.0001,0.20778998732566833,,
448,10335,27.46,3,2729,0.7545437499999998,27.46,1333,0.0001,0.10205036401748657,,
452,10458,27.42,3,2715,0.7516225000000003,27.42,1364,0.0001,0.15714973211288452,,
456,10752,29.56,4,2668,0.7446399999999999,29.56,1437,0.0001,0.11442381143569946,,
460,10879,30.0,4,2655,0.7416237500000001,30.0,1469,0.0001,0.1573522686958313,,
464,11017,30.6,4,2641,0.7383462499999998,30.6,1504,0.0001,0.2768741250038147,,
468,11168,31.26,4,2631,0.7347600000000001,31.26,1541,0.0001,0.18853142857551575,,
472,11377,32.21,4,2591,0.7297962500000001,32.21,1594,0.0001,0.07118187844753265,,
476,11605,33.31,4,2575,0.72438125,33.31,1651,0.0001,0.2524960935115814,,
480,11780,33.68,4,2560,0.7202250000000003,33.68,1694,0.0001,0.17560318112373352,,
484,11986,34.59,4,2529,0.7153324999999999,34.59,1746,0.0001,0.1895671784877777,,
488,12191,35.69,4,2517,0.7104637500000002,35.69,1797,0.0001,0.00911254808306694,,
492,12326,36.31,4,2507,0.7072575000000002,36.31,1831,0.0001,0.11915546655654907,,
496,12429,36.18,4,2501,0.70481125,36.18,1857,0.0001,0.24982231855392456,,
500,12557,36.58,5,2478,0.7017712500000002,36.58,1889,0.0001,0.16483066976070404,,
504,12677,36.13,5,2468,0.6989212499999999,36.13,1919,0.0001,0.09417296200990677,,
508,12803,36.4,5,2463,0.6959287499999998,36.4,1950,0.0001,0.1312909573316574,,
512,12928,36.67,5,2456,0.6929599999999999,36.67,1981,0.0001,0.11075503379106522,,
516,13134,37.67,5,2430,0.6880675,37.67,2033,0.0001,0.20992228388786316,,
520,13254,37.73,5,2424,0.6852174999999998,37.73,2063,0.0001,0.18004776537418365,,
524,13461,38.29,5,2415,0.6803012500000003,38.29,2115,0.0001,0.3414810299873352,,
528,13561,38.45,5,2395,0.6779262500000001,38.45,2140,0.0001,0.33935827016830444,,
532,13687,38.61,5,2390,0.6749337499999999,38.61,2171,0.0001,0.04317375272512436,,
536,13795,38.3,5,2385,0.67236875,38.3,2198,0.0001,0.14429420232772827,,
540,14050,39.73,5,2374,0.6663124999999999,39.73,2262,0.0001,0.3757579028606415,,
544,14167,39.8,6,2356,0.66353375,39.8,2291,0.0001,0.3200398087501526,,
548,14505,41.7,6,2346,0.6555062500000002,41.7,2376,0.0001,0.20850715041160583,,
552,14748,42.9,6,2329,0.649735,42.9,2436,0.0001,0.10489945858716965,,
556,14981,42.29,6,2322,0.6442012500000001,42.29,2495,0.0001,0.08650315552949905,,
560,15220,43.41,6,2314,0.6385249999999998,43.41,2554,0.0001,0.45948997139930725,,
564,15411,43.94,6,2298,0.6339887500000001,43.94,2602,0.0001,0.12360058724880219,,
568,15575,44.07,6,2293,0.6300937499999999,44.07,2643,0.0001,0.2561614513397217,,
572,15673,42.96,6,2289,0.6277662499999999,42.96,2668,0.0001,0.16274036467075348,,
576,15845,42.4,6,2284,0.6236812500000001,42.4,2711,0.0001,0.2787417471408844,,
580,16011,42.31,7,2268,0.61973875,42.31,2752,0.0001,0.5349739789962769,,
584,16302,43.16,7,2259,0.6128275000000001,43.16,2825,0.0001,0.13366174697875977,,
588,16487,42.96,7,2255,0.6084337499999999,42.96,2871,0.0001,0.1936693787574768,,
592,16747,44.21,7,2238,0.6022587500000001,44.21,2936,0.0001,0.14316818118095398,,
596,16981,45.52,7,2233,0.59670125,45.52,2995,0.0001,0.3190188705921173,,
600,17055,44.98,7,2231,0.5949437500000001,44.98,3013,0.0001,0.2218521684408188,,
604,17165,44.88,7,2228,0.5923312499999999,44.88,3041,0.0001,0.37128567695617676,,
608,17353,45.5,7,2214,0.5878662500000001,45.5,3088,0.0001,0.6310951709747314,,
612,17485,45.57,7,2210,0.5847312500000001,45.57,3121,0.0001,0.19347476959228516,,
616,17674,45.4,8,2206,0.5802424999999998,45.4,3168,0.0001,0.22366391122341156,,
620,17885,46.31,8,2193,0.5752312500000001,46.31,3221,0.0001,0.666397750377655,,
624,18219,47.58,8,2188,0.56729875,47.58,3304,0.0001,0.23757506906986237,,
628,18476,49.15,8,2184,0.5611949999999999,49.15,3368,0.0001,0.16052794456481934,,
632,18632,49.45,8,2172,0.55749,49.45,3407,0.0001,0.5337186455726624,,
636,18776,49.81,8,2169,0.5540700000000003,49.81,3443,0.0001,0.23893047869205475,,
640,18914,48.64,8,2167,0.5507924999999998,48.64,3478,0.0001,0.3431898355484009,,
644,19024,48.57,8,2164,0.5481800000000001,48.57,3505,0.0001,0.7109795212745667,,
648,19174,46.69,8,2153,0.5446175,46.69,3543,0.0001,0.3302575647830963,,
652,19471,47.23,9,2148,0.5375637500000001,47.23,3617,0.0001,0.6264926195144653,,
656,19656,46.75,9,2145,0.5331699999999999,46.75,3663,0.0001,0.1396646648645401,,
,20000,,,,0.5250237499999998,,3749,0.0001,0.15179479122161865,213.6,213.6
