time/iterations,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/value_loss,train/approx_kl,train/n_updates,train/std,train/clip_range,train/loss,train/clip_fraction,train/explained_variance,eval/mean_ep_length,eval/mean_reward
15,2154,14,30720,200.0,-1207.8208170599999,,,,,,,,,,,,,
16,2152,15,32768,200.0,-1199.5155621099998,-0.0038127831227029673,-1.2782661698758602,0.0003,6577.233386230469,0.004491655,150,0.871161937713623,0.2,3034.06689453125,0.033837890625,0.0003161430358886719,,
17,2161,16,34816,200.0,-1207.46329549,-0.0028843226216849873,-1.2926360312849283,0.0003,4887.979544067382,0.0035263516,160,0.8878345489501953,0.2,2387.301025390625,0.020654296875,0.000307619571685791,,
,,,35000,,,-0.003095004355418496,-1.2904965713620187,0.0003,6075.86396484375,0.0032342873,170,0.8727657198905945,0.2,2684.2021484375,0.033935546875,0.00015503168106079102,200.0,-985.0863340382464
18,2148,17,36864,200.0,-1190.6108611500001,,,,,,,,,,,,,
19,2155,18,38912,200.0,-1186.02967464,-0.0019141261596814728,-1.2794634602963924,0.0003,4923.878681945801,0.002879869,180,0.864725649356842,0.2,2095.20947265625,0.01103515625,0.0001831650733947754,,
,,,40000,,,-0.002557294545840705,-1.2774939753115178,0.0003,4537.107652282715,0.0033124934,190,0.8689208626747131,0.2,2050.755126953125,0.018896484375,0.00011992454528808594,200.0,-1032.668173597008
20,2149,19,40960,200.0,-1175.6937687399998,,,,,,,,,,,,,
21,2155,19,43008,200.0,-1184.58119794,-0.001880607649218291,-1.285120901837945,0.0003,5362.50885925293,0.0038954164,200,0.8828625082969666,0.2,2325.595703125,0.02119140625,7.56382942199707e-05,,
,,,45000,,,-0.002650625957903685,-1.2989708736538887,0.0003,5557.495701599121,0.004036043,210,0.8925851583480835,0.2,2178.839599609375,0.0203125,5.424022674560547e-05,200.0,-1108.354934373498
22,2143,21,45056,200.0,-1179.48096413,,,,,,,,,,,,,
23,2139,22,47104,200.0,-1174.46548545,-0.005256151828507427,-1.3132186986505985,0.0003,5234.059227752686,0.0044274973,220,0.9074394702911377,0.2,2162.255126953125,0.03154296875,5.435943603515625e-05,,
24,2135,23,49152,200.0,-1148.7653079900003,-0.0015240640277625062,-1.3130604404956103,0.0003,4485.727543640137,0.003358265,230,0.8934831619262695,0.2,2054.68408203125,0.023828125,5.9545040130615234e-05,,
,,,50000,,,-0.001605248192208819,-1.3122695434838534,0.0003,3162.5206035614015,0.0034909304,240,0.907347559928894,0.2,1461.314208984375,0.026708984375,6.020069122314453e-05,200.0,-1102.3629846669733
25,2124,24,51200,200.0,-1132.88092993,,,,,,,,,,,,,
26,2122,25,53248,200.0,-1144.49870315,-0.0029143610066967086,-1.3163060467690229,0.0003,3602.6036628723145,0.0032160545,250,0.8947349190711975,0.2,1338.4013671875,0.02041015625,3.743171691894531e-05,,
,,,55000,,,-0.0009903149344609118,-1.3040495704859496,0.0003,4772.0618301391605,0.003212222,260,0.8874444961547852,0.2,2264.787109375,0.010546875,1.5556812286376953e-05,200.0,-973.8301021819701
27,2099,26,55296,200.0,-1134.72070502,,,,,,,,,,,,,
28,2080,27,57344,200.0,-1132.6899309,-0.0010989241432980633,-1.3052290584892035,0.0003,3985.315901184082,0.002236893,270,0.8962262868881226,0.2,1814.5911865234375,0.010009765625,2.9921531677246094e-05,,
29,2062,28,59392,200.0,-1145.7943621799998,-0.0010478026437340305,-1.3100990153849126,0.0003,3258.931906890869,0.0037707645,280,0.8967307806015015,0.2,1645.3729248046875,0.019482421875,2.3066997528076172e-05,,
,,,60000,,,-0.0023897059727460146,-1.3083775710314511,0.0003,4170.548997497559,0.0030543515,290,0.8930138349533081,0.2,1749.3115234375,0.0263671875,2.014636993408203e-05,200.0,-1247.890370169282
30,2038,30,61440,200.0,-1140.17762222,,,,,,,,,,,,,
31,2038,31,63488,200.0,-1135.11994966,-0.0008885153860319406,-1.2986348029226065,0.0003,4277.268156433105,0.0022740671,300,0.8786839246749878,0.2,1564.7603759765625,0.004833984375,1.817941665649414e-05,,
,,,65000,,,-0.0019601332576712595,-1.2863020721822978,0.0003,4002.5622741699217,0.0021800124,310,0.8755490183830261,0.2,1849.86328125,0.02158203125,1.6868114471435547e-05,200.0,-1197.6492043592036
32,2027,32,65536,200.0,-1116.99360548,,,,,,,,,,,,,
33,2036,33,67584,200.0,-1107.80094385,-0.0014985815461841412,-1.301206111162901,0.0003,2627.1855068206787,0.0034824642,320,0.8993085026741028,0.2,1290.171875,0.01748046875,1.9609928131103516e-05,,
34,2046,34,69632,200.0,-1122.7394996300002,-0.0033220759956748224,-1.3276008993387223,0.0003,2452.5770763397218,0.0036663853,330,0.9247745275497437,0.2,932.5734252929688,0.03984375,1.4722347259521484e-05,,
,,,70000,,,-0.001732660947891418,-1.3333974950015546,0.0003,3177.5386375427247,0.0026301104,340,0.9112740755081177,0.2,1279.449462890625,0.020654296875,1.0251998901367188e-05,200.0,-1068.831138370931
35,2046,35,71680,200.0,-1117.9357647299998,,,,,,,,,,,,,
36,2057,35,73728,200.0,-1107.2307311200002,-0.0030169904028298335,-1.3220905043184756,0.0003,2307.290143203735,0.0043532094,350,0.9034563899040222,0.2,1198.895263671875,0.0353515625,1.0728836059570312e-05,,
,,,75000,,,-0.004008519764465745,-1.3076630704104901,0.0003,2794.962573623657,0.0054004653,360,0.889589786529541,0.2,1297.065185546875,0.053759765625,7.569789886474609e-06,200.0,-1206.1860960811377
37,2058,36,75776,200.0,-1095.09294202,,,,,,,,,,,,,
38,2067,37,77824,200.0,-1093.89038588,-0.0015529373835306616,-1.3103085957467555,0.0003,2031.2597854614257,0.003611942,370,0.9001433849334717,0.2,900.0411376953125,0.02197265625,6.616115570068359e-06,,
39,2074,38,79872,200.0,-1083.57648167,-0.001927476296259556,-1.321227127686143,0.0003,2550.9392570495606,0.004085201,380,0.9146493673324585,0.2,972.4048461914062,0.02919921875,6.4373016357421875e-06,,
,,,80000,,,-0.0014403654036868828,-1.3369890339672565,0.0003,2433.9676628112793,0.003449732,390,0.9304399490356445,0.2,1097.374267578125,0.02451171875,4.76837158203125e-06,200.0,-998.5147016063332
40,2074,39,81920,200.0,-1082.90034442,,,,,,,,,,,,,
41,2082,40,83968,200.0,-1066.12191418,-0.0007344720725086518,-1.3439567252993583,0.0003,2493.6276554107667,0.0012680911,400,0.9242690801620483,0.2,1144.0361328125,0.01201171875,4.172325134277344e-06,,
,,,85000,,,-0.0022877296767546797,-1.3325696725398302,0.0003,1894.502825164795,0.003564102,410,0.9092720746994019,0.2,950.0274047851562,0.020458984375,4.172325134277344e-06,200.0,-1088.0113317988812
42,2083,41,86016,200.0,-1075.96144548,,,,,,,,,,,,,
43,2090,42,88064,200.0,-1076.7137917200002,-0.0035623054092866367,-1.3198843147605657,0.0003,2152.5605499267576,0.0047558155,420,0.9040586948394775,0.2,753.0968017578125,0.053857421875,2.9206275939941406e-06,,
,,,90000,,,-0.0034323345520533622,-1.320270113646984,0.0003,2038.0063358306884,0.0036630505,430,0.9079704284667969,0.2,741.928955078125,0.051416015625,2.086162567138672e-06,200.0,-1074.337863509357
44,2090,43,90112,200.0,-1077.15385496,,,,,,,,,,,,,
45,2094,44,92160,200.0,-1080.5377776799999,-0.003881046251626685,-1.3246662463992833,0.0003,1929.7529426574706,0.0036126517,440,0.9115768671035767,0.2,774.3825073242188,0.035009765625,2.5033950805664062e-06,,
46,2101,44,94208,200.0,-1074.6711005,-0.001726773622795008,-1.3245375845581293,0.0003,2045.2252704620362,0.004509307,450,0.9064422845840454,0.2,910.9842529296875,0.029541015625,2.3245811462402344e-06,,
,,,95000,,,-0.0021258643464534543,-1.3087309908121825,0.0003,1547.097838973999,0.00427532,460,0.8850170373916626,0.2,713.2359008789062,0.034619140625,2.5033950805664062e-06,200.0,-996.4635265424847
47,2100,45,96256,200.0,-1072.41805511,,,,,,,,,,,,,
48,2106,46,98304,200.0,-1074.7934470300002,-0.005591626919340342,-1.2957332395017147,0.0003,1296.4615514755249,0.0062481724,470,0.8862452507019043,0.2,732.8910522460938,0.068505859375,2.7418136596679688e-06,,
,,,100000,,,-0.002917140866338741,-1.30998093187809,0.0003,1575.9038848876953,0.005107905,480,0.9073899388313293,0.2,816.3875732421875,0.042236328125,2.1457672119140625e-06,200.0,-975.2875460635871
49,2106,47,100352,200.0,-1066.41157268,,,,,,,,,,,,,
50,2112,48,102400,200.0,-1058.41942621,-0.0043498329818248745,-1.3047059707343578,0.0003,1409.2666063308716,0.0042333216,490,0.8789036870002747,0.2,630.8320922851562,0.0421875,1.7285346984863281e-06,,
51,2118,49,104448,200.0,-1046.7382115699997,-0.002431591921776999,-1.2772428095340729,0.0003,1304.5859481811524,0.0029240781,500,0.8600573539733887,0.2,690.8154907226562,0.0244140625,1.6093254089355469e-06,,
,,,105000,,,-0.0014279737937613391,-1.2633950915187597,0.0003,1070.7567525863647,0.0027931887,510,0.8534550666809082,0.2,440.5594177246094,0.02890625,1.6689300537109375e-06,200.0,-1004.1172523796558
52,2117,50,106496,200.0,-1045.78229287,,,,,,,,,,,,,
53,2122,51,108544,200.0,-1032.38077482,-0.004082925099646672,-1.25780414827168,0.0003,1078.2931507110595,0.004364809,520,0.846196174621582,0.2,515.9345703125,0.046484375,1.430511474609375e-06,,
,,,110000,,,-0.0005618110721115954,-1.2585628364235162,0.0003,1051.7790227890014,0.0039712014,530,0.8567943572998047,0.2,575.925537109375,0.018310546875,1.4901161193847656e-06,200.0,-901.4192057438195
54,2121,52,110592,200.0,-1027.21768711,,,,,,,,,,,,,
55,2125,52,112640,200.0,-1016.6157342800001,-0.0010997176650562324,-1.2667537253350019,0.0003,984.1425231933594,0.0024305326,540,0.8597198128700256,0.2,489.8670654296875,0.01591796875,1.430511474609375e-06,,
56,2131,53,114688,200.0,-1010.7539628,-0.0017050841910531745,-1.2693752024322749,0.0003,895.2230325698853,0.004271319,550,0.8639740347862244,0.2,324.9485778808594,0.03681640625,2.1457672119140625e-06,,
,,,115000,,,-0.0013279539212817325,-1.2664780009537935,0.0003,1022.4588459014892,0.005042857,560,0.8550592660903931,0.2,495.1808776855469,0.046044921875,2.205371856689453e-06,200.0,-876.0809827141463
57,2130,54,116736,200.0,-1008.2095694200001,,,,,,,,,,,,,
58,2135,55,118784,200.0,-991.9414566899999,-0.002886403641605284,-1.26026711165905,0.0003,808.645783996582,0.0038291207,570,0.8523120284080505,0.2,410.4327697753906,0.039599609375,2.5033950805664062e-06,,
,,,120000,,,0.00020619304850697518,-1.257803139463067,0.0003,621.281283569336,0.005467045,580,0.8523815274238586,0.2,311.398681640625,0.0708984375,2.205371856689453e-06,200.0,-856.5071633055807
59,2133,56,120832,200.0,-982.6524241200001,,,,,,,,,,,,,
