rollout/ep_len_mean,time/iterations,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/clip_range,train/loss,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/n_updates,train/explained_variance,train/std,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
200.0,17,34816,12,2710,-1207.46329549,0.2,2387.301025390625,0.0035263516,0.020654296875,-0.0028843226216849873,4887.979544067382,0.0003,160,0.000307619571685791,0.8878345489501953,-1.2926360312849283,,
,,35000,,,,0.2,2684.2021484375,0.0032342873,0.033935546875,-0.003095004355418496,6075.86396484375,0.0003,170,0.00015503168106079102,0.8727657198905945,-1.2904965713620187,200.0,-995.1152528900653
200.0,18,36864,13,2687,-1190.6108611500001,,,,,,,,,,,,,
200.0,19,38912,14,2692,-1186.02967464,0.2,2095.20947265625,0.002879869,0.01103515625,-0.0019141261596814728,4923.878681945801,0.0003,180,0.0001831650733947754,0.864725649356842,-1.2794634602963924,,
,,40000,,,,0.2,2050.755126953125,0.0033124934,0.018896484375,-0.002557294545840705,4537.107652282715,0.0003,190,0.00011992454528808594,0.8689208626747131,-1.2774939753115178,200.0,-1110.547032879293
200.0,20,40960,15,2674,-1175.6937687399998,,,,,,,,,,,,,
200.0,21,43008,16,2679,-1184.58119794,0.2,2325.595703125,0.0038954164,0.02119140625,-0.001880607649218291,5362.50885925293,0.0003,200,7.56382942199707e-05,0.8828625082969666,-1.285120901837945,,
,,45000,,,,0.2,2178.839599609375,0.004036043,0.0203125,-0.002650625957903685,5557.495701599121,0.0003,210,5.424022674560547e-05,0.8925851583480835,-1.2989708736538887,200.0,-1065.3109144344926
200.0,22,45056,16,2663,-1179.48096413,,,,,,,,,,,,,
200.0,23,47104,17,2668,-1174.46548545,0.2,2162.255126953125,0.0044274973,0.03154296875,-0.005256151828507427,5234.059227752686,0.0003,220,5.435943603515625e-05,0.9074394702911377,-1.3132186986505985,,
200.0,24,49152,18,2673,-1148.7653079900003,0.2,2054.68408203125,0.003358265,0.023828125,-0.0015240640277625062,4485.727543640137,0.0003,230,5.9545040130615234e-05,0.8934831619262695,-1.3130604404956103,,
,,50000,,,,0.2,1461.314208984375,0.0034909304,0.026708984375,-0.001605248192208819,3162.5206035614015,0.0003,240,6.020069122314453e-05,0.907347559928894,-1.3122695434838534,200.0,-1027.356595966406
200.0,25,51200,19,2660,-1132.88092993,,,,,,,,,,,,,
200.0,26,53248,19,2666,-1144.49870315,0.2,1338.4013671875,0.0032160545,0.02041015625,-0.0029143610066967086,3602.6036628723145,0.0003,250,3.743171691894531e-05,0.8947349190711975,-1.3163060467690229,,
,,55000,,,,0.2,2264.787109375,0.003212222,0.010546875,-0.0009903149344609118,4772.0618301391605,0.0003,260,1.5556812286376953e-05,0.8874444961547852,-1.3040495704859496,200.0,-938.2147577976808
200.0,27,55296,20,2655,-1134.72070502,,,,,,,,,,,,,
200.0,28,57344,21,2659,-1132.6899309,0.2,1814.5911865234375,0.002236893,0.010009765625,-0.0010989241432980633,3985.315901184082,0.0003,270,2.9921531677246094e-05,0.8962262868881226,-1.3052290584892035,,
200.0,29,59392,22,2664,-1145.7943621799998,0.2,1645.3729248046875,0.0037707645,0.019482421875,-0.0010478026437340305,3258.931906890869,0.0003,280,2.3066997528076172e-05,0.8967307806015015,-1.3100990153849126,,
,,60000,,,,0.2,1749.3115234375,0.0030543515,0.0263671875,-0.0023897059727460146,4170.548997497559,0.0003,290,2.014636993408203e-05,0.8930138349533081,-1.3083775710314511,200.0,-1019.2313098959625
200.0,30,61440,23,2653,-1140.17762222,,,,,,,,,,,,,
200.0,31,63488,23,2656,-1135.11994966,0.2,1564.7603759765625,0.0022740671,0.004833984375,-0.0008885153860319406,4277.268156433105,0.0003,300,1.817941665649414e-05,0.8786839246749878,-1.2986348029226065,,
,,65000,,,,0.2,1849.86328125,0.0021800124,0.02158203125,-0.0019601332576712595,4002.5622741699217,0.0003,310,1.6868114471435547e-05,0.8755490183830261,-1.2863020721822978,200.0,-1085.0250151321293
200.0,32,65536,24,2646,-1116.99360548,,,,,,,,,,,,,
200.0,33,67584,25,2650,-1107.80094385,0.2,1290.171875,0.0034824642,0.01748046875,-0.0014985815461841412,2627.1855068206787,0.0003,320,1.9609928131103516e-05,0.8993085026741028,-1.301206111162901,,
200.0,34,69632,26,2654,-1122.7394996300002,0.2,932.5734252929688,0.0036663853,0.03984375,-0.0033220759956748224,2452.5770763397218,0.0003,330,1.4722347259521484e-05,0.9247745275497437,-1.3276008993387223,,
,,70000,,,,0.2,1279.449462890625,0.0026301104,0.020654296875,-0.001732660947891418,3177.5386375427247,0.0003,340,1.0251998901367188e-05,0.9112740755081177,-1.3333974950015546,200.0,-1232.3609746336938
200.0,35,71680,27,2645,-1117.9357647299998,,,,,,,,,,,,,
200.0,36,73728,27,2648,-1107.2307311200002,0.2,1198.895263671875,0.0043532094,0.0353515625,-0.0030169904028298335,2307.290143203735,0.0003,350,1.0728836059570312e-05,0.9034563899040222,-1.3220905043184756,,
,,75000,,,,0.2,1297.065185546875,0.0054004653,0.053759765625,-0.004008519764465745,2794.962573623657,0.0003,360,7.569789886474609e-06,0.889589786529541,-1.3076630704104901,200.0,-1174.5395118027925
200.0,37,75776,28,2639,-1095.09294202,,,,,,,,,,,,,
200.0,38,77824,29,2643,-1093.89038588,0.2,900.0411376953125,0.003611942,0.02197265625,-0.0015529373835306616,2031.2597854614257,0.0003,370,6.616115570068359e-06,0.9001433849334717,-1.3103085957467555,,
200.0,39,79872,30,2647,-1083.57648167,0.2,972.4048461914062,0.004085201,0.02919921875,-0.001927476296259556,2550.9392570495606,0.0003,380,6.4373016357421875e-06,0.9146493673324585,-1.321227127686143,,
,,80000,,,,0.2,1097.374267578125,0.003449732,0.02451171875,-0.0014403654036868828,2433.9676628112793,0.0003,390,4.76837158203125e-06,0.9304399490356445,-1.3369890339672565,200.0,-1134.1907824911177
200.0,40,81920,31,2639,-1082.90034442,,,,,,,,,,,,,
200.0,41,83968,31,2642,-1066.12191418,0.2,1144.0361328125,0.0012680911,0.01201171875,-0.0007344720725086518,2493.6276554107667,0.0003,400,4.172325134277344e-06,0.9242690801620483,-1.3439567252993583,,
,,85000,,,,0.2,950.0274047851562,0.003564102,0.020458984375,-0.0022877296767546797,1894.502825164795,0.0003,410,4.172325134277344e-06,0.9092720746994019,-1.3325696725398302,200.0,-1049.9961353361607
200.0,42,86016,32,2634,-1075.96144548,,,,,,,,,,,,,
200.0,43,88064,33,2637,-1076.7137917200002,0.2,753.0968017578125,0.0047558155,0.053857421875,-0.0035623054092866367,2152.5605499267576,0.0003,420,2.9206275939941406e-06,0.9040586948394775,-1.3198843147605657,,
,,90000,,,,0.2,741.928955078125,0.0036630505,0.051416015625,-0.0034323345520533622,2038.0063358306884,0.0003,430,2.086162567138672e-06,0.9079704284667969,-1.320270113646984,200.0,-1113.8957538157701
200.0,44,90112,34,2630,-1077.15385496,,,,,,,,,,,,,
200.0,45,92160,34,2633,-1080.5377776799999,0.2,774.3825073242188,0.0036126517,0.035009765625,-0.003881046251626685,1929.7529426574706,0.0003,440,2.5033950805664062e-06,0.9115768671035767,-1.3246662463992833,,
