rollout/ep_len_mean,time/iterations,time/fps,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,train/clip_range,train/explained_variance,train/learning_rate,train/std,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/value_loss,train/loss,train/clip_fraction,train/approx_kl
5.86,1,3738,53.16127359,2048,0,,,,,,,,,,,
6.21,2,2841,56.43661751,4096,1,0.2,0.009537220001220703,0.0003,1.0018744468688965,10,-0.02489668604830513,-1.4199790112674235,785.3343052864075,190.20880126953125,0.208837890625,0.015021606
7.07,3,2667,64.40809042000001,6144,2,0.2,0.05616474151611328,0.0003,0.9414691925048828,20,-0.022930647074826994,-1.3897527392953635,606.6610141754151,251.68695068359375,0.16064453125,0.013573479
7.46,4,2555,68.07450245999999,8192,3,0.2,0.04646003246307373,0.0003,0.8947253823280334,30,-0.023599539471615572,-1.3332636415958405,587.4860281944275,215.44009399414062,0.18486328125,0.015543133
8.19,5,2519,74.88027152000001,10240,4,0.2,0.16077840328216553,0.0003,0.8649581670761108,40,-0.020468353123578708,-1.2899616185575724,484.28433322906494,151.68927001953125,0.165234375,0.011507027
