time/fps,time/iterations,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,train/loss,train/learning_rate,train/policy_gradient_loss,train/clip_range,train/n_updates,train/clip_fraction,train/std,train/explained_variance,train/value_loss,train/approx_kl,train/entropy_loss
4358,1,6.65,2048,7.65,0,,,,,,,,,,,
3006,2,9.05,4096,10.05,1,2.954758405685425,0.0003,-0.021877954437513836,0.2,10,0.1716796875,0.9556285738945007,0.00014722347259521484,11.116416943073272,0.019460514,-1.3965882673859595
2693,3,13.55,6144,14.55,2,5.432960033416748,0.0003,-0.031231464122538456,0.2,20,0.197314453125,0.9122089743614197,0.14851289987564087,14.32446762919426,0.019666744,-1.3502144142985344
2541,4,22.61,8192,23.61,3,16.24466896057129,0.0003,-0.03217150429845787,0.2,30,0.2013671875,0.8775872588157654,0.13032913208007812,28.653921979665757,0.024351815,-1.306977017596364
2470,5,30.26,10240,31.26,4,26.19389533996582,0.0003,-0.02058230269321939,0.2,40,0.11611328125,0.8551675081253052,0.07852315902709961,47.78942379951477,0.010550553,-1.2759092666208744
2430,6,41.92,12288,42.92,5,14.72917652130127,0.0003,-0.016578209736326243,0.2,50,0.09775390625,0.8402588367462158,0.12732470035552979,59.68838549256325,0.008647988,-1.2536855645477771
2386,7,53.74,14336,54.74,6,26.566059112548828,0.0003,-0.01197541930305306,0.2,60,0.06591796875,0.8307507634162903,0.33713918924331665,55.14020591378212,0.0076465774,-1.2389437925070523
2368,8,62.76,16384,63.76,6,25.675662994384766,0.0003,-0.014436889463104308,0.2,70,0.08798828125,0.8156880140304565,0.5411232709884644,53.76017488837242,0.009230902,-1.223337636888027
2350,9,78.58,18432,79.58,7,19.651079177856445,0.0003,-0.007514825586986263,0.2,80,0.073828125,0.8049095869064331,0.7335280179977417,38.82778861820698,0.0059313443,-1.2084919337183238
2336,10,90.85,20480,91.85,8,7.6062517166137695,0.0003,-0.01100966723242891,0.2,90,0.067529296875,0.8027397394180298,0.7897951602935791,38.10362439155578,0.007713191,-1.1996572658419609
2328,11,107.9,22528,108.9,9,14.889789581298828,0.0003,-0.011888184252893553,0.2,100,0.082958984375,0.7944128513336182,0.7478586435317993,49.28822699785233,0.0075595174,-1.1940974496304988
2320,12,124.63,24576,125.62,10,7.021975040435791,0.0003,-0.016582630496122873,0.2,110,0.0802734375,0.7900826334953308,0.829700767993927,33.99274531006813,0.0075856885,-1.185934068635106
2308,13,143.45,26624,144.42,11,10.377861022949219,0.0003,-0.0072316405137826225,0.2,120,0.051953125,0.7801693081855774,0.5923627614974976,30.802539712935687,0.0058564865,-1.177106936275959
2305,14,161.62,28672,162.57,12,0.3845685124397278,0.0003,-0.005417666649009334,0.2,130,0.054833984375,0.7516366839408875,-0.6047964096069336,9.486926536797545,0.008701248,-1.1587536305189132
2300,15,180.59,30720,181.52,13,0.07730158418416977,0.0003,0.00026986996381310745,0.2,140,0.056494140625,0.7510779500007629,0.007221639156341553,6.703354016545927,0.008366768,-1.1324977327138186
2293,16,199.34,32768,200.25,14,0.21167607605457306,0.0003,0.0018645967880729585,0.2,150,0.06025390625,0.7579833269119263,-0.010534286499023438,4.08661015885591,0.010057609,-1.1335665699094535
2291,17,218.26,34816,219.15,15,0.06869551539421082,0.0003,0.0006701228368910961,0.2,160,0.065576171875,0.7530691027641296,-0.017891883850097656,2.544700568915869,0.0076139164,-1.1390053976327181
2289,18,236.6,36864,237.47,16,0.007249082438647747,0.0003,-0.002305449056439102,0.2,170,0.07001953125,0.7595378160476685,-0.013078570365905762,1.5321080438174248,0.006899004,-1.1384122889488935
2282,19,255.22,38912,256.07,17,0.06910385191440582,0.0003,0.0005019285104935989,0.2,180,0.029150390625,0.7590928673744202,0.007336974143981934,0.907797564791872,0.0051784543,-1.1421652551740409
2282,20,277.56,40960,278.39,17,0.01888386718928814,0.0003,0.0003140583648928441,0.2,190,0.047705078125,0.7783254384994507,-0.024329781532287598,0.5521023103799962,0.0041822502,-1.1528011672198772
2281,21,296.53,43008,297.34,18,9.594158172607422,0.0003,-0.0031572056439472364,0.2,200,0.037255859375,0.7750508785247803,0.0016998648643493652,59.76602603457868,0.0022342713,-1.165106152743101
2276,22,315.32,45056,316.11,19,0.10904723405838013,0.0003,-0.007812001160345972,0.2,210,0.118896484375,0.7765573263168335,-1.645042896270752,0.5233702385099605,0.00850076,-1.1632854942232371
2275,23,334.5,47104,335.27,20,-0.020069368183612823,0.0003,-0.009254743465862702,0.2,220,0.058544921875,0.7440043687820435,-1.0944182872772217,0.16330317618849222,0.0074422946,-1.14553786739707
2275,24,353.22,49152,353.97,21,-0.009772902354598045,0.0003,-0.00251638410409214,0.2,230,0.07294921875,0.7581774592399597,-0.06512081623077393,0.0924553335080418,0.0057306667,-1.1313084654510022
2271,25,372.58,51200,373.31,22,0.02846674434840679,0.0003,-0.002386489708442241,0.2,240,0.05703125,0.7574800848960876,-0.036341190338134766,0.05686636165910386,0.0058232723,-1.1423230476677417
2269,26,391.03,53248,391.74,23,0.020493745803833008,0.0003,0.0011619208024058025,0.2,250,0.0263671875,0.7590076327323914,-0.029198408126831055,0.03452459211475798,0.004223137,-1.1431761566549539
2268,27,410.4,55296,411.09,24,0.0012424876913428307,0.0003,-0.0016707708840840497,0.2,260,0.0271484375,0.7614532709121704,-0.037216782569885254,0.022210697356831587,0.0030978576,-1.143843012675643
2265,28,428.51,57344,429.18,25,0.006726700346916914,0.0003,0.0005684060372004752,0.2,270,0.013623046875,0.774432361125946,-0.021314501762390137,0.013232048970985488,0.002313396,-1.1545467607676982
2265,29,447.46,59392,448.11,26,-0.007106679957360029,0.0003,-8.07161326520145e-05,0.2,280,0.0359375,0.7774697542190552,-0.027977466583251953,0.008693640345109088,0.0040178644,-1.164893174916506
2265,30,467.08,61440,467.71,27,-6.676377961412072e-05,0.0003,0.0005655500863213092,0.2,290,0.034033203125,0.7932201623916626,-0.03752255439758301,0.005517924788773598,0.004781695,-1.175338114053011
2263,31,485.52,63488,486.13,28,-0.007523291278630495,0.0003,-0.0025579617948096713,0.2,300,0.044140625,0.7974172830581665,-0.01261293888092041,0.0036451671144277498,0.005274175,-1.19102785885334
2262,32,503.87,65536,504.46,28,0.03912068158388138,0.0003,-0.0012251802050741389,0.2,310,0.0404296875,0.803621232509613,-0.05310213565826416,0.0024265055008982016,0.00478555,-1.1968152351677417
2262,33,522.12,67584,522.69,29,-0.005151722580194473,0.0003,-0.00036091023503104225,0.2,320,0.03603515625,0.8107941746711731,-0.07611095905303955,0.001637425437775164,0.0035132575,-1.2063050869852305
2260,34,539.94,69632,540.49,30,0.005010377150028944,0.0003,-0.0009139812114881352,0.2,330,0.043505859375,0.8142520189285278,-0.07529544830322266,0.0010700150984803258,0.003141047,-1.2121420510113239
2260,35,557.88,71680,558.41,31,-0.0021391662303358316,0.0003,-0.0010251922401948832,0.2,340,0.079638671875,0.8342217803001404,-0.11521375179290771,0.0008558874477984091,0.004023997,-1.2265721816569566
2258,36,585.27,73728,585.77,32,-0.004228259902447462,0.0003,-0.0025833251798758282,0.2,350,0.044189453125,0.8109866380691528,-0.1129460334777832,0.000611154783297252,0.0030572915,-1.2225412830710412
