rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/exploration_rate,time/fps,time/episodes,rollout/ep_len_mean,train/n_updates,train/loss,train/learning_rate
-179.80923375,382,0,0.9977318749999999,6737,4,95.5,,,
-209.254550375,746,0,0.995570625,7098,8,93.25,,,
-221.998839,1127,0,0.9933084375,7929,12,93.91666666666667,,,
-200.7406709375,1519,0,0.9909809374999999,8966,16,94.9375,,,
-180.78800404999998,1836,0,0.98909875,9519,20,91.8,,,
-175.0151639166667,2139,0,0.9872996875000001,9917,24,89.125,,,
-167.2891583571429,2414,0,0.9856668749999999,10254,28,86.21428571428571,,,
-166.893448375,2763,0,0.9835946875000001,10504,32,86.34375,,,
-166.75249511111107,3172,0,0.98116625,10886,36,88.11111111111111,,,
-170.10299532500002,3563,0,0.9788446875000001,11193,40,89.075,,,
-174.7440765227273,3992,0,0.9762975,11516,44,90.72727272727273,,,
-176.4812285208333,4309,0,0.9744153125000001,11557,48,89.77083333333333,,,
-177.91936632692307,4703,0,0.9720759375000001,11762,52,90.4423076923077,,,
-188.05720914285715,5120,0,0.9695999999999999,11947,56,91.42857142857143,,,
-189.28747828333334,5550,0,0.9670468750000001,12118,60,92.5,,,
-193.64575100000002,5869,0,0.9651528125000001,12113,64,91.703125,,,
-191.33402088235295,6170,0,0.963365625,12162,68,90.73529411764706,,,
-188.51332747222222,6555,0,0.9610796875000001,12250,72,91.04166666666667,,,
-192.77777168421053,6914,0,0.958948125,12347,76,90.97368421052632,,,
-191.3637643125,7236,0,0.9570362499999999,12356,80,90.45,,,
-194.31043478571434,7612,0,0.9548037500000001,12446,84,90.61904761904762,,,
-193.42569213636364,8042,0,0.9522506249999999,12540,88,91.38636363636364,,,
-197.26829846739128,8435,0,0.9499171874999999,12629,92,91.68478260869566,,,
-194.02244847916666,8743,0,0.9480884375,12686,96,91.07291666666667,,,
-194.03202506000002,9160,0,0.9456125,12704,100,91.6,,,
-191.01996871,9498,0,0.943605625,12756,104,91.16,,,
-185.37893605000002,9867,0,0.9414146875000001,12805,108,91.21,,,
-181.86786959,10209,0,0.9393840625,10644,112,90.82,52,4.212646484375,0.00025
-184.97117093999998,10575,1,0.9372109375,9392,116,90.56,143,1.0730156898498535,0.00025
-193.31199751000003,11036,1,0.93447375,8262,120,92.0,258,0.6814286112785339,0.00025
-196.00751245999996,11501,1,0.9317128125,7483,124,93.62,375,0.839748740196228,0.00025
-197.0815513,11917,1,0.9292428125000001,6904,128,95.03,479,0.5088542699813843,0.00025
-198.74619069999997,12261,1,0.9272003125000001,6522,132,94.98,565,1.4595412015914917,0.00025
-198.16024146000004,12686,2,0.9246768749999998,6135,136,95.14,671,3.172600746154785,0.00025
-193.35837809000003,13028,2,0.92264625,5706,140,94.65,756,0.800019383430481,0.00025
-191.24005366,13418,2,0.9203306249999998,5458,144,94.26,854,0.26013147830963135,0.00025
-187.45862874,13701,2,0.9186503125,5295,148,93.92,925,1.170052170753479,0.00025
-185.8233114,14006,2,0.916839375,5125,152,93.03,1001,2.5520942211151123,0.00025
-181.16788914,14403,2,0.9144821875000001,4946,156,92.83,1100,0.5330642461776733,0.00025
-176.90825650000002,14702,3,0.912706875,4815,160,91.52,1175,3.5455498695373535,0.00025
-169.90246252,15132,3,0.91015375,4658,164,92.63,1282,0.7145860195159912,0.00025
-170.65165484999997,15496,3,0.9079925,4457,168,93.26,1373,1.9018235206604004,0.00025
-171.66728923,15955,3,0.9052671875000001,4322,172,94.0,1488,0.21771469712257385,0.00025
-169.14154515,16337,3,0.9029990625,4231,176,94.23,1584,2.0135645866394043,0.00025
-167.40718393999998,16712,4,0.9007724999999999,4148,180,94.76,1677,2.6525394916534424,0.00025
-162.18464133,17049,4,0.8987715625,4073,184,94.37,1762,0.9653663635253906,0.00025
-158.89778644999998,17500,4,0.8960937500000001,3961,188,94.58,1874,0.3188033103942871,0.00025
-155.68678323999998,17942,4,0.893469375,3858,192,95.07,1985,1.6377143859863281,0.00025
-154.73356195,18282,4,0.891450625,3805,196,95.39,2070,0.7801083326339722,0.00025
-150.25980112000002,18707,4,0.8889271875000001,3743,200,95.47,2176,0.24152061343193054,0.00025
-151.40947493999997,19093,5,0.8866353125000002,3687,204,95.95,2273,0.4020704925060272,0.00025
-153.26759096,19493,5,0.8842603125000001,3638,208,96.26,2373,0.7643729448318481,0.00025
-153.39359733,19860,5,0.88208125,3576,212,96.51,2464,2.257603168487549,0.00025
-149.68620737,20203,5,0.8800446874999999,3523,216,96.28,2550,0.4784751534461975,0.00025
-139.55997059,20654,5,0.8773668750000001,3475,220,96.18,2663,0.631889820098877,0.00025
-137.35613677000003,21089,6,0.8747840625000001,3437,224,95.88,2772,0.8740561008453369,0.00025
-135.54976473,21483,6,0.8724446875,3380,228,95.66,2870,0.23954859375953674,0.00025
-131.42068447,21828,6,0.87039625,3354,232,95.67,2956,0.4873490333557129,0.00025
-130.45129241999996,22170,6,0.8683656249999998,3327,236,94.84,3042,2.603527069091797,0.00025
-131.23552848,22625,6,0.8656640625,3266,240,95.97,3156,0.27770888805389404,0.00025
