time/total_timesteps,train/n_updates,time/time_elapsed,train/ent_coef_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/actor_loss,time/episodes,train/learning_rate,time/fps,train/ent_coef,train/critic_loss,eval/mean_reward,eval/mean_ep_length
712000,711899,6476,-0.12737804651260376,1889.65426389,1000.0,-154.41647338867188,712,0.0003,109,0.042032647877931595,0.4799593687057495,,
716000,715899,6511,0.3106769919395447,1891.1978313500001,1000.0,-153.48492431640625,716,0.0003,109,0.04228326305747032,0.455929160118103,,
720000,719899,,0.4909096956253052,,,-153.9673614501953,,0.0003,,0.04220127314329147,0.7586338520050049,2049.4909218065836,1000.0
720000,,6547,,1892.46470471,1000.0,,720,,109,,,,
724000,723899,6582,-0.09767498075962067,1894.28298552,1000.0,-154.6661376953125,724,0.0003,109,0.04206550866365433,0.4962358772754669,,
728000,727899,6617,-0.28655537962913513,1895.91299317,1000.0,-154.52676391601562,728,0.0003,110,0.04281221330165863,0.7757949829101562,,
732000,731899,6652,-0.353725790977478,1897.37636372,1000.0,-154.27178955078125,732,0.0003,110,0.0416698232293129,0.6781755089759827,,
736000,735899,6687,-0.5600589513778687,1898.3352726199998,1000.0,-154.66888427734375,736,0.0003,110,0.04180632531642914,0.7143414616584778,,
740000,739899,,-0.08578428626060486,,,-154.6182403564453,,0.0003,,0.04308988153934479,0.8296233415603638,2026.8783180383966,1000.0
740000,,6724,,1900.43248804,1000.0,,740,,110,,,,
744000,743899,6760,-0.8173027038574219,1902.6008880900001,1000.0,-155.59307861328125,744,0.0003,110,0.041405901312828064,0.7408466339111328,,
748000,747899,6797,-1.605095624923706,1904.6639553200002,1000.0,-156.66329956054688,748,0.0003,110,0.042239949107170105,0.5115796327590942,,
752000,751899,6834,-0.6425632238388062,1905.9475725499997,1000.0,-155.8365020751953,752,0.0003,110,0.042714428156614304,0.7989705204963684,,
756000,755899,6873,0.031161516904830933,1907.2861947799997,1000.0,-156.369384765625,756,0.0003,109,0.0430104061961174,0.7293672561645508,,
760000,759899,,0.8603776693344116,,,-156.0941162109375,,0.0003,,0.04285215586423874,0.5524384379386902,2005.0534742128395,1000.0
760000,,6914,,1909.33564851,1000.0,,760,,109,,,,
764000,763899,6950,-0.26093894243240356,1910.59998987,1000.0,-156.62171936035156,764,0.0003,109,0.04252874106168747,0.5401857495307922,,
768000,767899,6986,-0.19097808003425598,1911.2771028200002,1000.0,-156.84469604492188,768,0.0003,109,0.042654793709516525,0.5380229949951172,,
772000,771899,7024,-1.3364362716674805,1912.7526776899997,1000.0,-156.87733459472656,772,0.0003,109,0.04192858189344406,0.5403650999069214,,
776000,775899,7060,-0.5616903305053711,1914.57959553,1000.0,-156.64797973632812,776,0.0003,109,0.04282979667186737,0.4441727101802826,,
780000,779899,,-0.5522792935371399,,,-156.19351196289062,,0.0003,,0.04348961263895035,0.6366187334060669,2044.1365798788115,1000.0
780000,,7098,,1917.1445646799998,1000.0,,780,,109,,,,
784000,783899,7133,0.028445899486541748,1918.63872576,1000.0,-157.44265747070312,784,0.0003,109,0.042792510241270065,0.7492537498474121,,
788000,787899,7170,0.3357275128364563,1920.50114002,1000.0,-157.66090393066406,788,0.0003,109,0.04318175092339516,0.6396335363388062,,
792000,791899,7206,0.6773266792297363,1922.3509644600001,1000.0,-157.57681274414062,792,0.0003,109,0.0432104729115963,0.4809229373931885,,
796000,795899,7243,0.4198032021522522,1924.0997636999998,1000.0,-157.67344665527344,796,0.0003,109,0.042717382311820984,0.6157087683677673,,
800000,799899,,-0.08625653386116028,,,-158.0948944091797,,0.0003,,0.04346607252955437,0.8223501443862915,2061.4239345960027,1000.0
800000,,7281,,1926.8215007700003,1000.0,,800,,109,,,,
804000,803899,7318,-0.14723734557628632,1927.91421242,1000.0,-158.06124877929688,804,0.0003,109,0.04307875409722328,0.5022754669189453,,
