time/total_timesteps,train/n_updates,time/time_elapsed,train/ent_coef_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/actor_loss,time/episodes,train/learning_rate,time/fps,train/ent_coef,train/critic_loss,eval/mean_reward,eval/mean_ep_length
516000,515899,4674,0.8487157225608826,1799.56739663,1000.0,-143.1834259033203,516,0.0003,110,0.042857732623815536,0.6016582250595093,,
520000,519899,,-0.4569489061832428,,,-142.48573303222656,,0.0003,,0.04299906641244888,0.856255292892456,1916.9242640424986,1000.0
520000,,4711,,1802.0661869500002,1000.0,,520,,110,,,,
524000,523899,4748,-1.2751004695892334,1803.99039319,1000.0,-142.95022583007812,524,0.0003,110,0.043342120945453644,0.5759031772613525,,
528000,527899,4785,-1.4230449199676514,1806.52386658,1000.0,-143.91409301757812,528,0.0003,110,0.043207671493291855,0.9003419876098633,,
532000,531899,4821,-1.026376485824585,1809.1436129499996,1000.0,-143.72413635253906,532,0.0003,110,0.042953070253133774,0.6879053115844727,,
536000,535899,4860,-0.6869031190872192,1811.1131998600001,1000.0,-144.31466674804688,536,0.0003,110,0.042796846479177475,0.6948516368865967,,
540000,539899,,0.7854130268096924,,,-144.36729431152344,,0.0003,,0.04217423498630524,0.6054390668869019,1158.7894029808115,1000.0
540000,,4902,,1813.6366434300005,1000.0,,540,,110,,,,
544000,543899,4940,-0.09709549695253372,1805.1400482699996,1000.0,-145.42042541503906,544,0.0003,110,0.043765537440776825,0.6711667776107788,,
548000,547899,4981,-1.2253289222717285,1806.68551678,1000.0,-145.4167022705078,548,0.0003,109,0.042222760617733,0.493932843208313,,
552000,551899,5022,0.4737217426300049,1808.27318202,1000.0,-145.6103973388672,552,0.0003,109,0.042654041200876236,0.8741950988769531,,
556000,555899,5060,-0.6500076055526733,1809.9064430399999,1000.0,-145.55438232421875,556,0.0003,109,0.04261227324604988,0.7474011182785034,,
560000,559899,,0.8181161880493164,,,-146.6195068359375,,0.0003,,0.043213944882154465,0.5822876691818237,1924.2379971974879,1000.0
560000,,5098,,1812.22321273,1000.0,,560,,109,,,,
