rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/fps,rollout/ep_len_mean,time/total_timesteps,rollout/exploration_rate,train/n_updates,train/learning_rate,train/loss
-149.68620737,216,5,3888,96.28,20203,0.8800446874999999,2550,0.00025,0.4784751534461975
-139.55997059,220,5,3831,96.18,20654,0.8773668750000001,2663,0.00025,0.631889820098877
-137.35613677000003,224,5,3783,95.88,21089,0.8747840625000001,2772,0.00025,0.8740561008453369
-135.54976473,228,5,3740,95.66,21483,0.8724446875,2870,0.00025,0.23954859375953674
-131.42068447,232,5,3705,95.67,21828,0.87039625,2956,0.00025,0.4873490333557129
-130.45129241999996,236,6,3669,94.84,22170,0.8683656249999998,3042,0.00025,2.603527069091797
-131.23552848,240,6,3626,95.97,22625,0.8656640625,3156,0.00025,0.27770888805389404
-128.33271225999997,244,6,3583,96.99,23117,0.8627428125,3279,0.00025,0.8687583208084106
-127.84402878,248,6,3553,98.09,23510,0.8604093749999999,3377,0.00025,5.3634257316589355
-126.97196039000002,252,6,3508,99.06,23912,0.8580225000000001,3477,0.00025,0.9748086929321289
-123.05651162,256,6,3475,99.26,24329,0.8555465625,3582,0.00025,1.822116494178772
-121.96455766999999,260,7,3445,100.7,24772,0.8529162499999999,3692,0.00025,2.2285475730895996
-122.45973692000001,264,7,3420,100.07,25139,0.8507371875000002,3784,0.00025,1.496154546737671
-118.37540513,268,7,3394,100.36,25532,0.8484037499999999,3882,0.00025,0.6953213214874268
-114.87246224000002,272,7,3364,100.82,26037,0.8454053125000001,4009,0.00025,3.86488676071167
-111.23144282999998,276,7,3337,101.54,26491,0.8427096875,4122,0.00025,1.0630781650543213
-111.65533788,280,8,3305,101.88,26900,0.84028125,4224,0.00025,0.2607421576976776
-114.98258052999999,284,8,3281,103.17,27366,0.837514375,4341,0.00025,1.0325207710266113
-116.40619645999999,288,8,3260,103.06,27806,0.834901875,4451,0.00025,0.8808720707893372
-110.33872376000004,292,9,3202,111.1,29052,0.8275037500000001,4762,0.00025,1.2806841135025024
-109.71098159000002,296,9,3175,112.04,29486,0.8249268750000001,4871,0.00025,0.7846955060958862
-111.8049816,300,9,3158,112.0,29907,0.8224271875,4976,0.00025,0.4919193387031555
-110.60419965000001,304,9,3143,111.91,30284,0.8201887500000001,5070,0.00025,1.1491118669509888
-109.99715577999997,308,9,3130,111.66,30659,0.8179621875,5164,0.00025,2.1875967979431152
-107.00405132999998,312,9,3114,111.85,31045,0.8156703125000001,5261,0.00025,0.868679404258728
-105.47455236999998,316,10,3100,112.68,31471,0.8131409375000002,5367,0.00025,1.173282504081726
-106.8473189,320,10,3087,111.92,31846,0.8109143750000001,5461,0.00025,1.3342368602752686
-103.91607211000002,324,10,3075,111.06,32195,0.8088421874999999,5548,0.00025,0.8988613486289978
-102.52729221,328,10,3058,110.52,32535,0.8068234375000001,5633,0.00025,2.4327950477600098
-101.91442135,332,10,3047,110.53,32881,0.8047690625000001,5720,0.00025,0.5253017544746399
-100.75919949999998,336,10,3034,110.66,33236,0.80266125,5808,0.00025,0.7039631009101868
-100.48267668999999,340,11,3020,110.68,33693,0.7999478124999999,5923,0.00025,0.9548547267913818
-99.44540232000001,344,11,3007,110.11,34128,0.7973650000000001,6031,0.00025,2.7263176441192627
-98.03629181000001,348,11,2994,110.57,34567,0.7947584374999999,6141,0.00025,0.6087585091590881
-96.30344896999999,352,11,2984,110.75,34987,0.7922646874999999,6246,0.00025,1.0058282613754272
-95.85844029000002,356,11,2973,110.4,35369,0.7899965625,6342,0.00025,0.9916504621505737
-96.88723644000001,360,12,2965,109.4,35712,0.78796,6427,0.00025,1.417721152305603
-96.29422547,364,12,2949,109.73,36112,0.785585,6527,0.00025,4.066910743713379
-96.71237062,368,12,2938,109.86,36518,0.783174375,6629,0.00025,0.4980398714542389
-96.1258932,372,12,2931,108.08,36845,0.7812328124999999,6711,0.00025,1.6437005996704102
-95.21392232,376,12,2921,107.34,37225,0.7789765624999999,6806,0.00025,0.5961061120033264
-92.02796944999999,380,12,2912,107.45,37645,0.7764828125,6911,0.00025,6.698969841003418
-86.18161390000002,384,13,2904,106.37,38003,0.7743571874999999,7000,0.00025,3.1345314979553223
-83.9288807,388,13,2890,106.18,38424,0.7718574999999999,7105,0.00025,2.142162799835205
-84.54855712999999,392,13,2882,97.96,38848,0.76934,7211,0.00025,0.8441181778907776
-84.35343684,396,13,2873,97.91,39277,0.7667928125,7319,0.00025,0.9943998456001282
-81.8644633,400,13,2867,97.2,39627,0.7647146875000002,7406,0.00025,1.1155047416687012
-81.02902825,404,13,2859,97.15,39999,0.7625059375000001,7499,0.00025,1.829433560371399
-79.13521277,408,14,2850,97.95,40454,0.7598043750000001,7613,0.00025,1.6794160604476929
-77.54387063,412,14,2844,97.65,40810,0.757690625,7702,0.00025,0.37581866979599
-76.89911592,416,14,2833,96.28,41099,0.7559746875,7774,0.00025,0.9300664067268372
-75.70063155000001,420,14,2828,95.77,41423,0.7540509375000001,7855,0.00025,0.4243752658367157
-76.14586141,424,14,2822,95.6,41755,0.7520796875000001,7938,0.00025,0.7965524196624756
-76.73132426000001,428,14,2815,96.21,42156,0.7496987500000001,8038,0.00025,8.452908515930176
-77.37856064,432,15,2809,96.42,42523,0.7475196875000001,8130,0.00025,0.34227946400642395
-77.39002259,436,15,2804,96.15,42851,0.7455721874999999,8212,0.00025,2.315922737121582
-75.64230714,440,15,2793,95.88,43281,0.7430190625,8320,0.00025,3.062873601913452
-76.69749022,444,15,2787,95.42,43670,0.740709375,8417,0.00025,0.5815244913101196
-77.47229893000001,448,15,2780,95.89,44156,0.73782375,8538,0.00025,0.5489856004714966
-77.24071232,452,16,2775,96.28,44615,0.7350984375000001,8653,0.00025,0.9276687502861023
-76.58697579999999,456,16,2769,96.35,45004,0.7327887500000001,8750,0.00025,0.9387385845184326
-75.89723604999999,460,16,2763,97.06,45418,0.730330625,8854,0.00025,0.7900031805038452
-75.62617456,464,16,2754,97.09,45821,0.7279378124999999,8955,0.00025,1.6277130842208862
-75.27370541,468,16,2748,97.05,46223,0.7255509375,9055,0.00025,1.0703542232513428
-75.69883603,472,17,2742,98.3,46675,0.7228671874999999,9168,0.00025,2.134063243865967
-74.72405713,476,17,2738,97.73,46998,0.720949375,9249,0.00025,0.4407334625720978
-74.65102345,480,17,2732,98.18,47463,0.7181884375,9365,0.00025,0.802056074142456
-73.93024842000001,484,17,2727,98.89,47892,0.71564125,9472,0.00025,0.2579655051231384
-73.26183239000001,488,17,2722,98.77,48301,0.7132128124999999,9575,0.00025,2.3100368976593018
-73.97105689000001,492,17,2717,98.61,48709,0.7107903124999999,9677,0.00025,0.34040069580078125
-75.13902031999999,496,18,2709,98.49,49126,0.708314375,9781,0.00025,1.323746919631958
-75.06040532000002,500,18,2705,98.51,49478,0.706224375,9869,0.00025,0.3269719183444977
-74.54600889,504,18,2701,98.38,49837,0.7040928125000001,9959,0.00025,2.5248756408691406
-74.89256252999999,508,18,2696,98.83,50337,0.7011240625000001,10084,0.00025,12.001235008239746
-76.56296335,512,18,2692,99.08,50718,0.6988618750000001,10179,0.00025,1.2250635623931885
-76.77349422,516,19,2688,99.94,51093,0.6966353125,10273,0.00025,1.019073247909546
-76.52435480999999,520,19,2681,100.62,51485,0.6943078125,10371,0.00025,0.7164102792739868
-75.34739598000002,524,19,2677,100.57,51812,0.69236625,10452,0.00025,0.8382241725921631
-75.18910960000001,528,19,2673,100.56,52212,0.68999125,10552,0.00025,1.314434289932251
-72.76489636000002,532,19,2669,100.35,52558,0.6879368749999999,10639,0.00025,3.2777206897735596
-71.16462438,536,19,2666,101.12,52963,0.6855321875,10740,0.00025,1.2148557901382446
-71.79970322000001,540,20,2662,101.39,53420,0.6828187499999998,10854,0.00025,1.159305453300476
-70.65824692,544,20,2655,101.26,53796,0.68058625,10948,0.00025,0.5586504936218262
-69.98581041999999,548,20,2651,100.21,54177,0.6783240625,11044,0.00025,0.41493988037109375
-69.09220094999999,552,20,2648,99.27,54542,0.676156875,11135,0.00025,0.9078506827354431
-68.58531828000001,556,20,2645,98.33,54837,0.6744053124999998,11209,0.00025,4.566214084625244
-68.58291615000002,560,20,2641,98.12,55230,0.6720718750000002,11307,0.00025,1.326172113418579
-68.75566878000001,564,21,2638,97.55,55576,0.6700174999999999,11393,0.00025,0.6490903496742249
-68.91282365,568,21,2634,97.46,55969,0.6676840625000001,11492,0.00025,2.591099500656128
-67.59725176,572,21,2631,96.67,56342,0.6654693750000003,11585,0.00025,2.0601918697357178
-67.39044102,576,21,2625,97.92,56790,0.6628093750000001,11697,0.00025,1.4743461608886719
-67.13079428,580,21,2622,96.97,57160,0.6606125,11789,0.00025,1.0258668661117554
-68.17960122000001,584,21,2618,96.37,57529,0.6584215625000001,11882,0.00025,1.2483069896697998
-68.71526704,588,22,2615,96.31,57932,0.6560287499999999,11982,0.00025,0.4214310646057129
-68.40331097,592,22,2612,96.4,58349,0.6535528125000001,12087,0.00025,0.3629699945449829
-65.56487633,596,22,2607,97.13,58839,0.6506434375000001,12209,0.00025,0.7535417675971985
-65.94067705000002,600,22,2602,97.12,59190,0.648559375,12297,0.00025,0.7884521484375
-66.61285430000001,604,22,2599,97.05,59542,0.6464693750000001,12385,0.00025,1.7963829040527344
-65.17467214,608,23,2595,96.28,59965,0.6439578125000001,12491,0.00025,0.8856191039085388
-63.62167293000002,612,23,2593,96.49,60367,0.6415709374999999,12591,0.00025,0.8513551354408264
-63.486402080000005,616,23,2589,97.38,60831,0.6388159375000001,12707,0.00025,1.8358964920043945
-62.34736244,620,23,2586,97.95,61280,0.63615,12819,0.00025,0.6304889917373657
-61.21288776,624,23,2583,99.12,61724,0.6335137500000002,12930,0.00025,0.6917944550514221
-59.527348030000006,628,24,2577,99.08,62120,0.6311625000000001,13029,0.00025,2.0546865463256836
