train/critic_loss,time/fps,time/episodes,time/total_timesteps,time/time_elapsed,train/learning_rate,train/actor_loss,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_ep_length,eval/mean_reward
0.268502414226532,239,4,200,0,0.001,3.122619152069092,99,-70.833585,50.0,,
0.04581229016184807,182,8,400,2,0.001,1.8196961879730225,299,-58.963391625,50.0,,
0.019818326458334923,170,12,600,3,0.001,1.6346076726913452,499,-42.74033666666667,50.0,,
0.013632680289447308,166,16,800,4,0.001,1.6442370414733887,699,-34.564547062500004,50.0,,
0.03568315505981445,163,20,1000,6,0.001,1.7286484241485596,899,-30.220856100000002,50.0,,
0.016471896320581436,162,24,1200,7,0.001,1.8567767143249512,1099,-26.930971458333335,50.0,,
0.027417737990617752,162,28,1400,8,0.001,1.8030807971954346,1299,-24.859547714285718,50.0,,
0.03586556389927864,161,32,1600,9,0.001,2.0755484104156494,1499,-23.1450399375,50.0,,
0.025003038346767426,162,36,1800,11,0.001,2.0705418586730957,1699,-21.689135055555553,50.0,,
0.022103725001215935,162,40,2000,12,0.001,2.42444109916687,1899,-20.65881215,50.0,,
0.03647679090499878,162,44,2200,13,0.001,2.398263454437256,2099,-19.636038181818183,50.0,,
0.03642883896827698,162,48,2400,14,0.001,2.4970226287841797,2299,-18.846788874999998,50.0,,
0.031029729172587395,162,52,2600,15,0.001,2.633660316467285,2499,-18.149670153846152,50.0,,
0.043937861919403076,162,56,2800,17,0.001,2.8066484928131104,2699,-17.45103675,50.0,,
0.033336397260427475,162,60,3000,18,0.001,2.898423910140991,2899,-16.857097083333333,50.0,,
0.036007337272167206,161,64,3200,19,0.001,3.036897897720337,3099,-16.245926671874997,50.0,,
0.0358089916408062,162,68,3400,20,0.001,3.2095344066619873,3299,-15.71493620588235,50.0,,
0.03545987606048584,161,72,3600,22,0.001,3.4039790630340576,3499,-15.490494083333333,50.0,,
0.04025200009346008,161,76,3800,23,0.001,3.430199146270752,3699,-15.093419197368423,50.0,,
0.033186089247465134,161,80,4000,24,0.001,3.6222891807556152,3899,-14.745477062499997,50.0,,
0.053310178220272064,161,84,4200,26,0.001,3.634019613265991,4099,-14.280780559523809,50.0,,
0.04594334587454796,161,88,4400,27,0.001,3.6529362201690674,4299,-14.196282818181817,50.0,,
0.03930874913930893,161,92,4600,28,0.001,3.851381301879883,4499,-14.020557717391304,50.0,,
0.03724905103445053,161,96,4800,29,0.001,3.9669594764709473,4699,-13.92808103125,50.0,,
0.032019149512052536,161,100,5000,31,0.001,4.12870979309082,4899,-13.711408810000002,50.0,,
0.03555040806531906,161,104,5200,32,0.001,4.344813346862793,5099,-11.248432439999998,50.0,,
0.03594716265797615,161,108,5400,33,0.001,4.40947151184082,5299,-9.78907849,50.0,,
0.03755318000912666,161,112,5600,34,0.001,4.490240097045898,5499,-9.77054586,50.0,,
0.043976083397865295,161,116,5800,35,0.001,4.792648792266846,5699,-9.78857486,50.0,,
0.030727285891771317,161,120,6000,37,0.001,4.807310581207275,5899,-9.728798110000001,50.0,,
0.06590069830417633,161,124,6200,38,0.001,4.921590328216553,6099,-9.69190134,50.0,,
0.038419678807258606,161,128,6400,39,0.001,5.116209983825684,6299,-9.65606421,50.0,,
0.02883799374103546,160,132,6600,40,0.001,5.098250389099121,6499,-9.67881033,50.0,,
0.029847828671336174,160,136,6800,42,0.001,5.183140754699707,6699,-9.606809510000001,50.0,,
0.04475965350866318,160,140,7000,43,0.001,5.490197658538818,6899,-9.49833392,50.0,,
0.03858822211623192,160,144,7200,44,0.001,5.501741409301758,7099,-9.38778629,50.0,,
0.037147022783756256,160,148,7400,46,0.001,5.6173505783081055,7299,-9.44000662,50.0,,
0.029452797025442123,160,152,7600,47,0.001,5.69076681137085,7499,-9.53462558,50.0,,
0.0411890409886837,160,156,7800,48,0.001,5.954534530639648,7699,-9.595023,50.0,,
0.038533300161361694,160,160,8000,49,0.001,6.008050918579102,7899,-9.56277042,50.0,,
0.03672540560364723,160,164,8200,51,0.001,5.974431037902832,8099,-9.7942499,50.0,,
0.037763070315122604,160,168,8400,52,0.001,6.195974349975586,8299,-9.862303180000001,50.0,,
0.038172416388988495,160,172,8600,53,0.001,6.359508514404297,8499,-9.80527534,50.0,,
0.037440210580825806,160,176,8800,54,0.001,6.443797588348389,8699,-9.971514350000001,50.0,,
0.04692698270082474,160,180,9000,56,0.001,6.566298961639404,8899,-9.996247360000002,50.0,,
0.04091016948223114,160,184,9200,57,0.001,6.660446643829346,9099,-10.16826201,50.0,,
0.05151170492172241,160,188,9400,58,0.001,6.725708961486816,9299,-10.11727528,50.0,,
0.049810752272605896,160,192,9600,59,0.001,6.900142192840576,9499,-10.07927834,50.0,,
0.0411665141582489,160,196,9800,61,0.001,6.988373756408691,9699,-10.02959062,50.0,,
0.028024261817336082,160,200,10000,62,0.001,7.023052215576172,9899,-10.08277038,50.0,,
0.035729892551898956,160,204,10200,63,0.001,7.0397186279296875,10099,-10.05858156,50.0,,
0.04342092573642731,160,208,10400,64,0.001,7.234185218811035,10299,-9.99579699,50.0,,
0.03834657371044159,159,212,10600,66,0.001,7.3609209060668945,10499,-9.961480770000001,50.0,,
0.03737553954124451,159,216,10800,67,0.001,7.639766693115234,10699,-9.95558968,50.0,,
0.04087720438838005,159,220,11000,68,0.001,7.561929702758789,10899,-9.84433185,50.0,,
0.049284011125564575,159,224,11200,70,0.001,7.727115631103516,11099,-9.837011109999999,50.0,,
0.04320763051509857,159,228,11400,71,0.001,7.820463180541992,11299,-9.776116850000001,50.0,,
0.03669288009405136,159,232,11600,72,0.001,7.926625728607178,11499,-9.71728836,50.0,,
0.04444560408592224,159,236,11800,73,0.001,7.971672534942627,11699,-9.740358140000001,50.0,,
0.05289144441485405,159,240,12000,75,0.001,7.914328575134277,11899,-9.75117076,50.0,,
0.04297953099012375,159,244,12200,76,0.001,8.195340156555176,12099,-9.91156462,50.0,,
0.05182473361492157,159,248,12400,77,0.001,8.323216438293457,12299,-9.782455140000001,50.0,,
0.03504113107919693,159,252,12600,78,0.001,8.307300567626953,12499,-9.570959410000002,50.0,,
0.041743453592061996,159,256,12800,80,0.001,8.318792343139648,12699,-9.59277371,50.0,,
0.04309336468577385,159,260,13000,81,0.001,8.504861831665039,12899,-9.583480699999999,50.0,,
0.047262586653232574,159,264,13200,82,0.001,8.486949920654297,13099,-9.34327513,50.0,,
0.049059391021728516,159,268,13400,83,0.001,8.752626419067383,13299,-9.284119519999999,50.0,,
0.04417133703827858,159,272,13600,85,0.001,8.748022079467773,13499,-9.158888330000002,50.0,,
0.04953083023428917,159,276,13800,86,0.001,8.818514823913574,13699,-8.977462500000001,50.0,,
0.05668400228023529,159,280,14000,87,0.001,8.770965576171875,13899,-8.95675901,50.0,,
0.0359359048306942,159,284,14200,88,0.001,8.988243103027344,14099,-8.899105389999999,50.0,,
0.04289228469133377,159,288,14400,90,0.001,9.010549545288086,14299,-8.75811427,50.0,,
0.05298687890172005,159,292,14600,91,0.001,9.049144744873047,14499,-8.65140328,50.0,,
0.038937393575906754,159,296,14800,92,0.001,9.197122573852539,14699,-8.511974910000001,50.0,,
0.04151657968759537,159,300,15000,93,0.001,9.349674224853516,14899,-8.36306182,50.0,,
0.03386402502655983,159,304,15200,95,0.001,9.25905990600586,15099,-8.27188289,50.0,,
0.06916766613721848,159,308,15400,96,0.001,9.301985740661621,15299,-8.15970536,50.0,,
0.052166253328323364,159,312,15600,97,0.001,9.523025512695312,15499,-8.063436639999999,50.0,,
0.03653009980916977,159,316,15800,98,0.001,9.41752815246582,15699,-7.896615400000001,50.0,,
0.04053362086415291,159,320,16000,100,0.001,9.416685104370117,15899,-7.808718569999999,50.0,,
0.04754707217216492,159,324,16200,101,0.001,9.704277992248535,16099,-7.76598298,50.0,,
0.04460150748491287,159,328,16400,102,0.001,9.788765907287598,16299,-7.62634258,50.0,,
0.057314708828926086,159,332,16600,104,0.001,9.621479034423828,16499,-7.4759709999999995,50.0,,
0.039293378591537476,159,336,16800,105,0.001,9.657452583312988,16699,-7.463284389999999,50.0,,
