time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/std,train/n_updates,train/entropy_loss,train/clip_fraction,train/value_loss,train/loss,train/clip_range,train/approx_kl,eval/mean_ep_length,eval/mean_reward
2689,22,-1145.7943621799998,200.0,59392,29,0.0003,-0.0010478026437340305,2.3066997528076172e-05,0.8967307806015015,280,-1.3100990153849126,0.019482421875,3258.931906890869,1645.3729248046875,0.2,0.0037707645,,
2691,22,-1140.17762222,200.0,61440,30,0.0003,-0.0023897059727460146,2.014636993408203e-05,0.8930138349533081,290,-1.3083775710314511,0.0263671875,4170.548997497559,1749.3115234375,0.2,0.0030543515,,
2690,23,-1135.11994966,200.0,63488,31,0.0003,-0.0008885153860319406,1.817941665649414e-05,0.8786839246749878,300,-1.2986348029226065,0.004833984375,4277.268156433105,1564.7603759765625,0.2,0.0022740671,,
2691,24,-1116.99360548,200.0,65536,32,0.0003,-0.0019601332576712595,1.6868114471435547e-05,0.8755490183830261,310,-1.2863020721822978,0.02158203125,4002.5622741699217,1849.86328125,0.2,0.0021800124,,
2692,25,-1107.80094385,200.0,67584,33,0.0003,-0.0014985815461841412,1.9609928131103516e-05,0.8993085026741028,320,-1.301206111162901,0.01748046875,2627.1855068206787,1290.171875,0.2,0.0034824642,,
2691,25,-1122.7394996300002,200.0,69632,34,0.0003,-0.0033220759956748224,1.4722347259521484e-05,0.9247745275497437,330,-1.3276008993387223,0.03984375,2452.5770763397218,932.5734252929688,0.2,0.0036663853,,
2693,26,-1117.9357647299998,200.0,71680,35,0.0003,-0.001732660947891418,1.0251998901367188e-05,0.9112740755081177,340,-1.3333974950015546,0.020654296875,3177.5386375427247,1279.449462890625,0.2,0.0026301104,,
2691,27,-1107.2307311200002,200.0,73728,36,0.0003,-0.0030169904028298335,1.0728836059570312e-05,0.9034563899040222,350,-1.3220905043184756,0.0353515625,2307.290143203735,1198.895263671875,0.2,0.0043532094,,
,,,,75000,,0.0003,-0.004008519764465745,7.569789886474609e-06,0.889589786529541,360,-1.3076630704104901,0.053759765625,2794.962573623657,1297.065185546875,0.2,0.0054004653,200.0,-1045.3099068984388
2679,28,-1095.09294202,200.0,75776,37,,,,,,,,,,,,,
