time/fps,rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/total_timesteps,rollout/exploration_rate,rollout/ep_len_mean,train/loss,train/n_updates,train/learning_rate
6145,-179.80923375,4,0,382,0.9977318749999999,95.5,,,
8157,-209.254550375,8,0,746,0.995570625,93.25,,,
9231,-221.998839,12,0,1127,0.9933084375,93.91666666666667,,,
8989,-200.7406709375,16,0,1519,0.9909809374999999,94.9375,,,
9331,-180.78800404999998,20,0,1836,0.98909875,91.8,,,
9749,-175.0151639166667,24,0,2139,0.9872996875000001,89.125,,,
10065,-167.2891583571429,28,0,2414,0.9856668749999999,86.21428571428571,,,
10430,-166.893448375,32,0,2763,0.9835946875000001,86.34375,,,
10638,-166.75249511111107,36,0,3172,0.98116625,88.11111111111111,,,
10926,-170.10299532500002,40,0,3563,0.9788446875000001,89.075,,,
11203,-174.7440765227273,44,0,3992,0.9762975,90.72727272727273,,,
11365,-176.4812285208333,48,0,4309,0.9744153125000001,89.77083333333333,,,
11496,-177.91936632692307,52,0,4703,0.9720759375000001,90.4423076923077,,,
11620,-188.05720914285715,56,0,5120,0.9695999999999999,91.42857142857143,,,
11752,-189.28747828333334,60,0,5550,0.9670468750000001,92.5,,,
11853,-193.64575100000002,64,0,5869,0.9651528125000001,91.703125,,,
11888,-191.33402088235295,68,0,6170,0.963365625,90.73529411764706,,,
11931,-188.51332747222222,72,0,6555,0.9610796875000001,91.04166666666667,,,
12029,-192.77777168421053,76,0,6914,0.958948125,90.97368421052632,,,
12075,-191.3637643125,80,0,7236,0.9570362499999999,90.45,,,
12161,-194.31043478571434,84,0,7612,0.9548037500000001,90.61904761904762,,,
11809,-193.42569213636364,88,0,8042,0.9522506249999999,91.38636363636364,,,
11903,-197.26829846739128,92,0,8435,0.9499171874999999,91.68478260869566,,,
11956,-194.02244847916666,96,0,8743,0.9480884375,91.07291666666667,,,
11980,-194.03202506000002,100,0,9160,0.9456125,91.6,,,
12046,-191.01996871,104,0,9498,0.943605625,91.16,,,
12117,-185.37893605000002,108,0,9867,0.9414146875000001,91.21,,,
10883,-181.86786959,112,0,10209,0.9393840625,90.82,4.212646484375,52,0.00025
9587,-184.97117093999998,116,1,10575,0.9372109375,90.56,1.0730156898498535,143,0.00025
8425,-193.31199751000003,120,1,11036,0.93447375,92.0,0.6814286112785339,258,0.00025
7567,-196.00751245999996,124,1,11501,0.9317128125,93.62,0.839748740196228,375,0.00025
6887,-197.0815513,128,1,11917,0.9292428125000001,95.03,0.5088542699813843,479,0.00025
6517,-198.74619069999997,132,1,12261,0.9272003125000001,94.98,1.4595412015914917,565,0.00025
6126,-198.16024146000004,136,2,12686,0.9246768749999998,95.14,3.172600746154785,671,0.00025
5857,-193.35837809000003,140,2,13028,0.92264625,94.65,0.800019383430481,756,0.00025
5604,-191.24005366,144,2,13418,0.9203306249999998,94.26,0.26013147830963135,854,0.00025
5377,-187.45862874,148,2,13701,0.9186503125,93.92,1.170052170753479,925,0.00025
5220,-185.8233114,152,2,14006,0.916839375,93.03,2.5520942211151123,1001,0.00025
5037,-181.16788914,156,2,14403,0.9144821875000001,92.83,0.5330642461776733,1100,0.00025
4914,-176.90825650000002,160,2,14702,0.912706875,91.52,3.5455498695373535,1175,0.00025
4754,-169.90246252,164,3,15132,0.91015375,92.63,0.7145860195159912,1282,0.00025
4607,-170.65165484999997,168,3,15496,0.9079925,93.26,1.9018235206604004,1373,0.00025
4474,-171.66728923,172,3,15955,0.9052671875000001,94.0,0.21771469712257385,1488,0.00025
4370,-169.14154515,176,3,16337,0.9029990625,94.23,2.0135645866394043,1584,0.00025
4282,-167.40718393999998,180,3,16712,0.9007724999999999,94.76,2.6525394916534424,1677,0.00025
4203,-162.18464133,184,4,17049,0.8987715625,94.37,0.9653663635253906,1762,0.00025
4093,-158.89778644999998,188,4,17500,0.8960937500000001,94.58,0.3188033103942871,1874,0.00025
4007,-155.68678323999998,192,4,17942,0.893469375,95.07,1.6377143859863281,1985,0.00025
3948,-154.73356195,196,4,18282,0.891450625,95.39,0.7801083326339722,2070,0.00025
3881,-150.25980112000002,200,4,18707,0.8889271875000001,95.47,0.24152061343193054,2176,0.00025
3822,-151.40947493999997,204,4,19093,0.8866353125000002,95.95,0.4020704925060272,2273,0.00025
3748,-153.26759096,208,5,19493,0.8842603125000001,96.26,0.7643729448318481,2373,0.00025
3704,-153.39359733,212,5,19860,0.88208125,96.51,2.257603168487549,2464,0.00025
3662,-149.68620737,216,5,20203,0.8800446874999999,96.28,0.4784751534461975,2550,0.00025
3614,-139.55997059,220,5,20654,0.8773668750000001,96.18,0.631889820098877,2663,0.00025
3554,-137.35613677000003,224,5,21089,0.8747840625000001,95.88,0.8740561008453369,2772,0.00025
3518,-135.54976473,228,6,21483,0.8724446875,95.66,0.23954859375953674,2870,0.00025
3485,-131.42068447,232,6,21828,0.87039625,95.67,0.4873490333557129,2956,0.00025
3456,-130.45129241999996,236,6,22170,0.8683656249999998,94.84,2.603527069091797,3042,0.00025
3418,-131.23552848,240,6,22625,0.8656640625,95.97,0.27770888805389404,3156,0.00025
3369,-128.33271225999997,244,6,23117,0.8627428125,96.99,0.8687583208084106,3279,0.00025
3341,-127.84402878,248,7,23510,0.8604093749999999,98.09,5.3634257316589355,3377,0.00025
3313,-126.97196039000002,252,7,23912,0.8580225000000001,99.06,0.9748086929321289,3477,0.00025
3286,-123.05651162,256,7,24329,0.8555465625,99.26,1.822116494178772,3582,0.00025
3259,-121.96455766999999,260,7,24772,0.8529162499999999,100.7,2.2285475730895996,3692,0.00025
3225,-122.45973692000001,264,7,25139,0.8507371875000002,100.07,1.496154546737671,3784,0.00025
3203,-118.37540513,268,7,25532,0.8484037499999999,100.36,0.6953213214874268,3882,0.00025
3178,-114.87246224000002,272,8,26037,0.8454053125000001,100.82,3.86488676071167,4009,0.00025
3155,-111.23144282999998,276,8,26491,0.8427096875,101.54,1.0630781650543213,4122,0.00025
3126,-111.65533788,280,8,26900,0.84028125,101.88,0.2607421576976776,4224,0.00025
3105,-114.98258052999999,284,8,27366,0.837514375,103.17,1.0325207710266113,4341,0.00025
3085,-116.40619645999999,288,9,27806,0.834901875,103.06,0.8808720707893372,4451,0.00025
3025,-110.33872376000004,292,9,29052,0.8275037500000001,111.1,1.2806841135025024,4762,0.00025
3008,-109.71098159000002,296,9,29486,0.8249268750000001,112.04,0.7846955060958862,4871,0.00025
2993,-111.8049816,300,9,29907,0.8224271875,112.0,0.4919193387031555,4976,0.00025
2981,-110.60419965000001,304,10,30284,0.8201887500000001,111.91,1.1491118669509888,5070,0.00025
2968,-109.99715577999997,308,10,30659,0.8179621875,111.66,2.1875967979431152,5164,0.00025
2947,-107.00405132999998,312,10,31045,0.8156703125000001,111.85,0.868679404258728,5261,0.00025
2934,-105.47455236999998,316,10,31471,0.8131409375000002,112.68,1.173282504081726,5367,0.00025
2923,-106.8473189,320,10,31846,0.8109143750000001,111.92,1.3342368602752686,5461,0.00025
2912,-103.91607211000002,324,11,32195,0.8088421874999999,111.06,0.8988613486289978,5548,0.00025
2902,-102.52729221,328,11,32535,0.8068234375000001,110.52,2.4327950477600098,5633,0.00025
2886,-101.91442135,332,11,32881,0.8047690625000001,110.53,0.5253017544746399,5720,0.00025
2877,-100.75919949999998,336,11,33236,0.80266125,110.66,0.7039631009101868,5808,0.00025
2864,-100.48267668999999,340,11,33693,0.7999478124999999,110.68,0.9548547267913818,5923,0.00025
2853,-99.44540232000001,344,11,34128,0.7973650000000001,110.11,2.7263176441192627,6031,0.00025
2836,-98.03629181000001,348,12,34567,0.7947584374999999,110.57,0.6087585091590881,6141,0.00025
2827,-96.30344896999999,352,12,34987,0.7922646874999999,110.75,1.0058282613754272,6246,0.00025
2817,-95.85844029000002,356,12,35369,0.7899965625,110.4,0.9916504621505737,6342,0.00025
2811,-96.88723644000001,360,12,35712,0.78796,109.4,1.417721152305603,6427,0.00025
2801,-96.29422547,364,12,36112,0.785585,109.73,4.066910743713379,6527,0.00025
2787,-96.71237062,368,13,36518,0.783174375,109.86,0.4980398714542389,6629,0.00025
2780,-96.1258932,372,13,36845,0.7812328124999999,108.08,1.6437005996704102,6711,0.00025
2772,-95.21392232,376,13,37225,0.7789765624999999,107.34,0.5961061120033264,6806,0.00025
2764,-92.02796944999999,380,13,37645,0.7764828125,107.45,6.698969841003418,6911,0.00025
2757,-86.18161390000002,384,13,38003,0.7743571874999999,106.37,3.1345314979553223,7000,0.00025
2745,-83.9288807,388,13,38424,0.7718574999999999,106.18,2.142162799835205,7105,0.00025
2736,-84.54855712999999,392,14,38848,0.76934,97.96,0.8441181778907776,7211,0.00025
2729,-84.35343684,396,14,39277,0.7667928125,97.91,0.9943998456001282,7319,0.00025
2722,-81.8644633,400,14,39627,0.7647146875000002,97.2,1.1155047416687012,7406,0.00025
2716,-81.02902825,404,14,39999,0.7625059375000001,97.15,1.829433560371399,7499,0.00025
2704,-79.13521277,408,14,40454,0.7598043750000001,97.95,1.6794160604476929,7613,0.00025
2698,-77.54387063,412,15,40810,0.757690625,97.65,0.37581866979599,7702,0.00025
2693,-76.89911592,416,15,41099,0.7559746875,96.28,0.9300664067268372,7774,0.00025
2687,-75.70063155000001,420,15,41423,0.7540509375000001,95.77,0.4243752658367157,7855,0.00025
2683,-76.14586141,424,15,41755,0.7520796875000001,95.6,0.7965524196624756,7938,0.00025
2673,-76.73132426000001,428,15,42156,0.7496987500000001,96.21,8.452908515930176,8038,0.00025
2668,-77.37856064,432,15,42523,0.7475196875000001,96.42,0.34227946400642395,8130,0.00025
2664,-77.39002259,436,16,42851,0.7455721874999999,96.15,2.315922737121582,8212,0.00025
2657,-75.64230714,440,16,43281,0.7430190625,95.88,3.062873601913452,8320,0.00025
2652,-76.69749022,444,16,43670,0.740709375,95.42,0.5815244913101196,8417,0.00025
2642,-77.47229893000001,448,16,44156,0.73782375,95.89,0.5489856004714966,8538,0.00025
2637,-77.24071232,452,16,44615,0.7350984375000001,96.28,0.9276687502861023,8653,0.00025
2631,-76.58697579999999,456,17,45004,0.7327887500000001,96.35,0.9387385845184326,8750,0.00025
2626,-75.89723604999999,460,17,45418,0.730330625,97.06,0.7900031805038452,8854,0.00025
2618,-75.62617456,464,17,45821,0.7279378124999999,97.09,1.6277130842208862,8955,0.00025
2613,-75.27370541,468,17,46223,0.7255509375,97.05,1.0703542232513428,9055,0.00025
2608,-75.69883603,472,17,46675,0.7228671874999999,98.3,2.134063243865967,9168,0.00025
2604,-74.72405713,476,18,46998,0.720949375,97.73,0.4407334625720978,9249,0.00025
2593,-74.65102345,480,18,47463,0.7181884375,98.18,0.802056074142456,9365,0.00025
2588,-73.93024842000001,484,18,47892,0.71564125,98.89,0.2579655051231384,9472,0.00025
2584,-73.26183239000001,488,18,48301,0.7132128124999999,98.77,2.3100368976593018,9575,0.00025
2579,-73.97105689000001,492,18,48709,0.7107903124999999,98.61,0.34040069580078125,9677,0.00025
2574,-75.13902031999999,496,19,49126,0.708314375,98.49,1.323746919631958,9781,0.00025
2568,-75.06040532000002,500,19,49478,0.706224375,98.51,0.3269719183444977,9869,0.00025
2565,-74.54600889,504,19,49837,0.7040928125000001,98.38,2.5248756408691406,9959,0.00025
2560,-74.89256252999999,508,19,50337,0.7011240625000001,98.83,12.001235008239746,10084,0.00025
2556,-76.56296335,512,19,50718,0.6988618750000001,99.08,1.2250635623931885,10179,0.00025
2549,-76.77349422,516,20,51093,0.6966353125,99.94,1.019073247909546,10273,0.00025
2546,-76.52435480999999,520,20,51485,0.6943078125,100.62,0.7164102792739868,10371,0.00025
2542,-75.34739598000002,524,20,51812,0.69236625,100.57,0.8382241725921631,10452,0.00025
2537,-75.18910960000001,528,20,52212,0.68999125,100.56,1.314434289932251,10552,0.00025
2533,-72.76489636000002,532,20,52558,0.6879368749999999,100.35,3.2777206897735596,10639,0.00025
2524,-71.16462438,536,20,52963,0.6855321875,101.12,1.2148557901382446,10740,0.00025
2517,-71.79970322000001,540,21,53420,0.6828187499999998,101.39,1.159305453300476,10854,0.00025
2509,-70.65824692,544,21,53796,0.68058625,101.26,0.5586504936218262,10948,0.00025
2504,-69.98581041999999,548,21,54177,0.6783240625,100.21,0.41493988037109375,11044,0.00025
2497,-69.09220094999999,552,21,54542,0.676156875,99.27,0.9078506827354431,11135,0.00025
2494,-68.58531828000001,556,21,54837,0.6744053124999998,98.33,4.566214084625244,11209,0.00025
2491,-68.58291615000002,560,22,55230,0.6720718750000002,98.12,1.326172113418579,11307,0.00025
2489,-68.75566878000001,564,22,55576,0.6700174999999999,97.55,0.6490903496742249,11393,0.00025
2483,-68.91282365,568,22,55969,0.6676840625000001,97.46,2.591099500656128,11492,0.00025
2480,-67.59725176,572,22,56342,0.6654693750000003,96.67,2.0601918697357178,11585,0.00025
2477,-67.39044102,576,22,56790,0.6628093750000001,97.92,1.4743461608886719,11697,0.00025
2474,-67.13079428,580,23,57160,0.6606125,96.97,1.0258668661117554,11789,0.00025
2471,-68.17960122000001,584,23,57529,0.6584215625000001,96.37,1.2483069896697998,11882,0.00025
2466,-68.71526704,588,23,57932,0.6560287499999999,96.31,0.4214310646057129,11982,0.00025
2463,-68.40331097,592,23,58349,0.6535528125000001,96.4,0.3629699945449829,12087,0.00025
2460,-65.56487633,596,23,58839,0.6506434375000001,97.13,0.7535417675971985,12209,0.00025
2457,-65.94067705000002,600,24,59190,0.648559375,97.12,0.7884521484375,12297,0.00025
2452,-66.61285430000001,604,24,59542,0.6464693750000001,97.05,1.7963829040527344,12385,0.00025
2450,-65.17467214,608,24,59965,0.6439578125000001,96.28,0.8856191039085388,12491,0.00025
2448,-63.62167293000002,612,24,60367,0.6415709374999999,96.49,0.8513551354408264,12591,0.00025
2445,-63.486402080000005,616,24,60831,0.6388159375000001,97.38,1.8358964920043945,12707,0.00025
2440,-62.34736244,620,25,61280,0.63615,97.95,0.6304889917373657,12819,0.00025
2437,-61.21288776,624,25,61724,0.6335137500000002,99.12,0.6917944550514221,12930,0.00025
2435,-59.527348030000006,628,25,62120,0.6311625000000001,99.08,2.0546865463256836,13029,0.00025
2433,-60.02782936,632,25,62467,0.6291021875,99.09,1.2905889749526978,13116,0.00025
2431,-59.63605588,636,25,62843,0.6268696875000002,98.8,0.36042308807373047,13210,0.00025
2425,-59.73822489,640,26,63323,0.6240196874999999,99.03,0.7955111265182495,13330,0.00025
2423,-58.47492071999999,644,26,63689,0.6218465624999999,98.93,1.2780766487121582,13422,0.00025
2421,-58.60784225999999,648,26,64074,0.619560625,98.97,1.394081711769104,13518,0.00025
2420,-58.772323830000005,652,26,64471,0.6172034375000001,99.29,2.0751283168792725,13617,0.00025
2415,-58.241710870000006,656,26,64850,0.6149531250000002,100.13,0.4664645791053772,13712,0.00025
2413,-57.35917194,660,27,65244,0.6126137500000002,100.14,0.9263331890106201,13810,0.00025
2411,-55.88126209000001,664,27,65693,0.6099478125,101.17,0.9893816709518433,13923,0.00025
2409,-53.89269089000001,668,27,66012,0.6080537500000001,100.43,1.4272782802581787,14002,0.00025
2407,-53.49120619,672,27,66400,0.60575,100.58,1.4734171628952026,14099,0.00025
2403,-52.383119889999996,676,27,66794,0.6034106250000002,100.04,1.3509801626205444,14198,0.00025
2400,-51.69253440000001,680,27,67189,0.6010653125000001,100.29,0.4082997739315033,14297,0.00025
2395,-50.646249450000006,684,28,67667,0.5982271875,101.38,1.3356797695159912,14416,0.00025
