rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,time/iterations,train/n_updates,train/clip_range,train/loss,train/approx_kl,train/entropy_loss,train/learning_rate,train/explained_variance,train/std,train/policy_gradient_loss,train/value_loss,train/clip_fraction
7.65,0,2048,5102,7.65,1,,,,,,,,,,,
10.19,1,4096,2956,10.19,2,10,0.2,2.562638759613037,0.019371752,-1.3970668748021127,0.0003,0.0001304149627685547,0.9545564651489258,-0.021612901949265507,13.02467526718974,0.172509765625
15.79,2,6144,2773,15.79,3,20,0.2,4.754187107086182,0.02495503,-1.3397498808801174,0.0003,0.14954841136932373,0.8985257744789124,-0.03179458608210552,13.09841300547123,0.1953125
23.26,3,8192,2708,23.26,4,30,0.2,13.343159675598145,0.022807123,-1.2920749984681605,0.0003,0.139043390750885,0.8648617267608643,-0.02991068071423797,25.036651885509492,0.20166015625
31.25,3,10240,2656,31.25,5,40,0.2,23.917156219482422,0.009999363,-1.2593152556568383,0.0003,0.10869467258453369,0.840985894203186,-0.02148499414179241,43.02529618144035,0.1177734375
40.88,4,12288,2646,40.88,6,50,0.2,18.226900100708008,0.0077302977,-1.2362570535391568,0.0003,0.15842342376708984,0.8242467641830444,-0.01769626254681498,51.09986676573753,0.101513671875
50.59,5,14336,2639,50.59,7,60,0.2,23.105762481689453,0.0077544213,-1.2213166572153569,0.0003,0.4762495160102844,0.8165631294250488,-0.012301067571388557,40.747744315862654,0.07216796875
60.83,6,16384,2617,60.83,8,70,0.2,28.023578643798828,0.014181435,-1.2055370509624481,0.0003,0.584778904914856,0.7992724776268005,-0.016727198447915724,47.20497488975525,0.118212890625
69.97,7,18432,2612,69.97,9,80,0.2,15.23080825805664,0.00931257,-1.1858477737754582,0.0003,0.7554932236671448,0.7834612131118774,-0.0075563109130598605,35.77051059007645,0.074609375
80.86,7,20480,2589,80.86,10,90,0.2,3.661728858947754,0.006840218,-1.1786108519881964,0.0003,0.9040298461914062,0.7905150055885315,-0.009874083925387822,16.690449430048467,0.097021484375
91.24,8,22528,2565,91.24,11,100,0.2,6.004513740539551,0.010751058,-1.1749535884708167,0.0003,0.9135479927062988,0.7777446508407593,-0.01244116461602971,19.48607732206583,0.1068359375
106.33,9,24576,2461,106.33,12,110,0.2,4.5534796714782715,0.0079494845,-1.1731834910809993,0.0003,0.9185664057731628,0.7862260341644287,-0.008649030012020376,20.898649778962135,0.097216796875
119.64,10,26624,2432,119.64,13,120,0.2,5.305515289306641,0.008939339,-1.178433495014906,0.0003,0.9336386919021606,0.7875901460647583,-0.0087538331412361,18.140121260285376,0.079638671875
134.54,11,28672,2424,134.54,14,130,0.2,4.612758636474609,0.011342899,-1.173405320569873,0.0003,0.9565188884735107,0.7747369408607483,-0.01738847837841604,13.249413852393626,0.12490234375
153.01,12,30720,2424,153.01,15,140,0.2,5.277318954467773,0.011048923,-1.1574130348861218,0.0003,0.957970142364502,0.7663965821266174,-0.01701229583559325,12.800932320952416,0.1166015625
