rollout/ep_len_mean,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/value_loss,train/explained_variance,train/approx_kl,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/loss,train/learning_rate,train/n_updates,train/std,train/clip_range
7.65,1,0,7.65,2048,4492,,,,,,,,,,,
10.19,2,1,10.19,4096,3197,13.02467526718974,0.0001304149627685547,0.019371752,-0.021612901949265507,-1.3970668748021127,0.172509765625,2.562638759613037,0.0003,10,0.9545564651489258,0.2
15.79,3,2,15.79,6144,2887,13.09841300547123,0.14954841136932373,0.02495503,-0.03179458608210552,-1.3397498808801174,0.1953125,4.754187107086182,0.0003,20,0.8985257744789124,0.2
23.26,4,2,23.26,8192,2777,25.036651885509492,0.139043390750885,0.022807123,-0.02991068071423797,-1.2920749984681605,0.20166015625,13.343159675598145,0.0003,30,0.8648617267608643,0.2
31.25,5,3,31.25,10240,2698,43.02529618144035,0.10869467258453369,0.009999363,-0.02148499414179241,-1.2593152556568383,0.1177734375,23.917156219482422,0.0003,40,0.840985894203186,0.2
40.88,6,4,40.88,12288,2665,51.09986676573753,0.15842342376708984,0.0077302977,-0.01769626254681498,-1.2362570535391568,0.101513671875,18.226900100708008,0.0003,50,0.8242467641830444,0.2
50.59,7,5,50.59,14336,2629,40.747744315862654,0.4762495160102844,0.0077544213,-0.012301067571388557,-1.2213166572153569,0.07216796875,23.105762481689453,0.0003,60,0.8165631294250488,0.2
60.83,8,6,60.83,16384,2601,47.20497488975525,0.584778904914856,0.014181435,-0.016727198447915724,-1.2055370509624481,0.118212890625,28.023578643798828,0.0003,70,0.7992724776268005,0.2
69.97,9,7,69.97,18432,2593,35.77051059007645,0.7554932236671448,0.00931257,-0.0075563109130598605,-1.1858477737754582,0.074609375,15.23080825805664,0.0003,80,0.7834612131118774,0.2
80.86,10,7,80.86,20480,2590,16.690449430048467,0.9040298461914062,0.006840218,-0.009874083925387822,-1.1786108519881964,0.097021484375,3.661728858947754,0.0003,90,0.7905150055885315,0.2
91.24,11,8,91.24,22528,2574,19.48607732206583,0.9135479927062988,0.010751058,-0.01244116461602971,-1.1749535884708167,0.1068359375,6.004513740539551,0.0003,100,0.7777446508407593,0.2
106.33,12,9,106.33,24576,2564,20.898649778962135,0.9185664057731628,0.0079494845,-0.008649030012020376,-1.1731834910809993,0.097216796875,4.5534796714782715,0.0003,110,0.7862260341644287,0.2
119.64,13,10,119.64,26624,2565,18.140121260285376,0.9336386919021606,0.008939339,-0.0087538331412361,-1.178433495014906,0.079638671875,5.305515289306641,0.0003,120,0.7875901460647583,0.2
134.54,14,11,134.54,28672,2566,13.249413852393626,0.9565188884735107,0.011342899,-0.01738847837841604,-1.173405320569873,0.12490234375,4.612758636474609,0.0003,130,0.7747369408607483,0.2
153.01,15,12,153.01,30720,2549,12.800932320952416,0.957970142364502,0.011048923,-0.01701229583559325,-1.1574130348861218,0.1166015625,5.277318954467773,0.0003,140,0.7663965821266174,0.2
