rollout/ep_len_mean,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/value_loss,train/explained_variance,train/approx_kl,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/loss,train/learning_rate,train/n_updates,train/std,train/clip_range,eval/mean_ep_length,eval/mean_reward
1000.0,119,112,1000.0,243712,2164,0.0004668068703466588,-0.08468461036682129,0.016943406,0.003269392834044993,0.8157006971538067,0.12900390625,0.008279790170490742,0.0003,1180,0.10709512233734131,0.2,,
1000.0,120,113,1000.0,245760,2166,1.6442070688071907e-06,-0.16117072105407715,0.010321575,0.006334656610852108,0.8098308637738227,0.188037109375,-0.0015879787970334291,0.0003,1190,0.10810770839452744,0.2,,
1000.0,121,114,1000.0,247808,2169,6.645823532380746e-07,-0.2940952777862549,0.021206237,0.005924803478410468,0.7958411149680614,0.16015625,0.0022920207120478153,0.0003,1200,0.11004889756441116,0.2,,
1000.0,122,115,1000.0,249856,2172,1.4193510565974067e-06,0.025439798831939697,0.007030691,0.0075844900260563005,0.7767982929944992,0.153466796875,0.0134487459436059,0.0003,1210,0.11206281930208206,0.2,,
,,,,250000,,1.0218017990837326e-06,-0.5799921751022339,0.008839609,0.007910684397211298,0.7675632163882256,0.160400390625,0.015417570248246193,0.0003,1220,0.11269594728946686,0.2,1000.0,1000.0
1000.0,123,116,1000.0,251904,2161,,,,,,,,,,,,,
1000.0,124,117,1000.0,253952,2164,1.201320313271026e-06,-0.3135535717010498,0.014845369,0.004467260558158159,0.7651125103235245,0.163671875,0.036576710641384125,0.0003,1230,0.11257598549127579,0.2,,
1000.0,125,118,1000.0,256000,2166,1.2018959125725814e-06,-0.7459826469421387,0.009758661,0.006526714879146312,0.7673429049551487,0.151953125,0.028721069917082787,0.0003,1240,0.1122986376285553,0.2,,
1000.0,126,118,1000.0,258048,2168,1.5927197694054485e-07,-1.226259469985962,0.00672111,0.007487290135031799,0.7661339864134789,0.184814453125,-0.006869347766041756,0.0003,1250,0.1126413643360138,0.2,,
,,,,260000,,1.6126149944284406e-07,-2.3419439792633057,0.010324194,0.006633026158669964,0.7632838442921639,0.135693359375,-0.0021103329490870237,0.0003,1260,0.11301244795322418,0.2,1000.0,1000.0
1000.0,127,120,1000.0,260096,2158,,,,,,,,,,,,,
1000.0,128,121,1000.0,262144,2161,5.497182351632546e-06,-3.1516542434692383,0.022683274,0.005443274306890089,0.7704862356185913,0.123095703125,0.022546954452991486,0.0003,1270,0.11098968237638474,0.2,,
1000.0,129,122,1000.0,264192,2163,2.1010753172845398e-05,-4.574254512786865,0.005530754,0.00678952776506776,0.7749814458191395,0.167626953125,0.004312997683882713,0.0003,1280,0.11200311779975891,0.2,,
1000.0,130,122,1000.0,266240,2165,0.00016589529298300932,-10.544002532958984,0.007827207,0.006473966890189331,0.7786918297410012,0.096484375,0.06826175004243851,0.0003,1290,0.1103365495800972,0.2,,
1000.0,131,123,1000.0,268288,2168,4.506376910740073e-07,-2.2480907440185547,0.008832999,0.0036966866842703893,0.7944925494492054,0.121337890625,-0.007532373536378145,0.0003,1300,0.10825508832931519,0.2,,
,,,,270000,,4.463124639642047e-07,-3.340306282043457,0.013033513,0.004997662633832079,0.8055413417518139,0.177294921875,-0.017503123730421066,0.0003,1310,0.10777106881141663,0.2,1000.0,1000.0
1000.0,132,125,1000.0,270336,2158,,,,,,,,,,,,,
1000.0,133,126,1000.0,272384,2160,2.333376841079371e-07,-11.148698806762695,0.0037829604,0.007266628737852443,0.8150798514485359,0.138134765625,-0.0055825370363891125,0.0003,1320,0.10644939541816711,0.2,,
1000.0,134,126,1000.0,274432,2162,0.0005722286941420407,-5.792917251586914,0.014877486,0.0036708513463963753,0.8378192901611328,0.1390625,0.008553413674235344,0.0003,1330,0.10322775691747665,0.2,,
1000.0,135,127,1000.0,276480,2164,4.6350515958692996e-08,-3.9376449584960938,0.015177578,0.009604469923942816,0.8556465543806553,0.18564453125,-0.004319398198276758,0.0003,1340,0.10257232934236526,0.2,,
1000.0,136,128,1000.0,278528,2167,9.26141041190931e-08,-6.985313415527344,0.008853145,0.006274829553149175,0.8686736099421978,0.136376953125,-0.02038593776524067,0.0003,1350,0.10018176585435867,0.2,,
,,,,280000,,1.022732911337698e-06,-9.654095649719238,0.007412743,0.001836892220308073,0.8937809564173221,0.1103515625,0.005237340461462736,0.0003,1360,0.09801119565963745,0.2,1000.0,1000.0
1000.0,137,130,1000.0,280576,2157,,,,,,,,,,,,,
1000.0,138,130,1000.0,282624,2159,1.0929410336757428e-07,-6.877584934234619,0.012669794,0.0014671418335638008,0.9111935824155808,0.124951171875,-0.029195701703429222,0.0003,1370,0.09641273319721222,0.2,,
1000.0,139,131,1000.0,284672,2161,7.794463385835115e-08,-7.802947044372559,0.017570185,0.005078921923995949,0.9287775866687298,0.14169921875,0.023018399253487587,0.0003,1380,0.09506461024284363,0.2,,
1000.0,140,132,1000.0,286720,2164,4.451246326198088e-07,-8.046889305114746,0.020451501,0.004661362554179505,0.9373074889183044,0.12880859375,-0.004110569134354591,0.0003,1390,0.09448488801717758,0.2,,
1000.0,141,133,1000.0,288768,2166,1.3055675395889921e-06,-12.449512481689453,0.010271785,0.0037085343305079733,0.9551030494272709,0.134912109375,0.004596861079335213,0.0003,1400,0.09174181520938873,0.2,,
,,,,290000,,0.00020389737121888628,-1.3635144233703613,0.012724312,0.0049926904212043155,0.972717997431755,0.1673828125,-0.006131409667432308,0.0003,1410,0.09144733101129532,0.2,1000.0,1000.0
1000.0,142,134,1000.0,290816,2156,,,,,,,,,,,,,
1000.0,143,135,1000.0,292864,2157,5.4613329251651524e-05,-0.6580435037612915,0.012735084,0.005985180640709587,0.9702027685940265,0.220166015625,-0.007627041544765234,0.0003,1420,0.0921744555234909,0.2,,
1000.0,144,136,1000.0,294912,2159,2.0310339721163473e-07,-1.5802617073059082,0.057448,0.008745395742880645,0.9600823625922204,0.187109375,0.005984650459140539,0.0003,1430,0.09307418763637543,0.2,,
1000.0,145,137,1000.0,296960,2161,8.820391002473115e-07,-3.0673375129699707,0.0089658825,0.006025043969566468,0.955970934778452,0.144384765625,-0.012091369368135929,0.0003,1440,0.09325657039880753,0.2,,
1000.0,146,138,1000.0,299008,2163,8.48780501883084e-08,-1.3376100063323975,0.010223238,0.002777970144234132,0.9601665668189525,0.140380859375,0.012161552906036377,0.0003,1450,0.09229958057403564,0.2,,
,,,,300000,,2.2899950238297607e-07,-4.1440019607543945,0.007850957,0.006086174357915297,0.9702902898192406,0.148388671875,0.033201247453689575,0.0003,1460,0.09126715362071991,0.2,1000.0,1000.0
1000.0,147,139,1000.0,301056,2153,,,,,,,,,,,,,
1000.0,148,140,1000.0,303104,2156,1.979709658144202e-05,-5.785863876342773,0.0066349264,0.003809480890049599,0.9886186800897121,0.117724609375,-0.023499371483922005,0.0003,1470,0.08888286352157593,0.2,,
1000.0,149,141,1000.0,305152,2158,9.470182078530343e-08,-4.2039408683776855,0.012578335,0.003918739320943132,1.0080376453697681,0.136279296875,0.0006903356406837702,0.0003,1480,0.0880933478474617,0.2,,
1000.0,150,142,1000.0,307200,2159,0.00016684206584329785,-5.773119926452637,0.005613114,0.007772400685644243,1.0224341839551925,0.1619140625,0.005059813614934683,0.0003,1490,0.086109459400177,0.2,,
1000.0,151,143,1000.0,309248,2161,1.2271794389562273e-07,-6.58707857131958,0.018700603,0.006430076115066186,1.0495350606739522,0.147314453125,0.011339421384036541,0.0003,1500,0.0836561769247055,0.2,,
,,,,310000,,0.00018455660693348364,-4.8003740310668945,0.006605681,0.0023170561631559393,1.0765823811292647,0.10830078125,0.02831340581178665,0.0003,1510,0.08094462752342224,0.2,1000.0,1000.0
1000.0,152,144,1000.0,311296,2152,,,,,,,,,,,,,
1000.0,153,145,1000.0,313344,2153,1.9072198540470708e-07,-9.491634368896484,0.012239478,0.004899800739076454,1.110882443189621,0.15205078125,0.008729733526706696,0.0003,1520,0.07853537052869797,0.2,,
1000.0,154,146,1000.0,315392,2155,1.193193725157471e-07,-6.0280632972717285,0.004203322,0.006229544541565701,1.1303432010114194,0.17412109375,0.0033118047285825014,0.0003,1530,0.07730609178543091,0.2,,
1000.0,155,147,1000.0,317440,2157,1.0569100794555197e-06,-7.542638778686523,0.025650922,0.0043916801223531365,1.1563000224530697,0.157861328125,-0.012612096033990383,0.0003,1540,0.07509375363588333,0.2,,
1000.0,156,147,1000.0,319488,2159,0.0006782928522085285,-7.021023750305176,0.0100175785,0.008650082981330343,1.1765868335962295,0.2015625,0.08307018876075745,0.0003,1550,0.07381681352853775,0.2,,
,,,,320000,,1.4927491093885692e-06,-3.869284152984619,0.017914863,0.004722614381171298,1.2024978272616864,0.183251953125,0.010370462201535702,0.0003,1560,0.07188334316015244,0.2,1000.0,1000.0
1000.0,157,149,1000.0,321536,2150,,,,,,,,,,,,,
1000.0,158,150,1000.0,323584,2152,1.1361657072939125e-07,-4.683742523193359,0.007234025,0.006803190926439129,1.224898324161768,0.162109375,0.04150119051337242,0.0003,1570,0.07015426456928253,0.2,,
1000.0,159,151,1000.0,325632,2155,8.175064465376636e-08,-3.72076416015625,0.006723522,0.0076238299356191416,1.2466934405267238,0.167724609375,-0.007621845230460167,0.0003,1580,0.06883680075407028,0.2,,
1000.0,160,151,1000.0,327680,2156,1.3709787367588432e-07,-6.294904708862305,0.009351411,0.003410936325963121,1.2656648129224777,0.13544921875,-0.0024184223730117083,0.0003,1590,0.06775815784931183,0.2,,
1000.0,161,152,1000.0,329728,2158,4.496227461459057e-08,-6.042903423309326,0.0065895626,0.00489175321708899,1.2834025986492634,0.176220703125,0.023669587448239326,0.0003,1600,0.06643819063901901,0.2,,
,,,,330000,,0.00030151872405212996,-6.43316650390625,0.021180682,0.006798040453577414,1.301914782077074,0.179052734375,-0.004379595629870892,0.0003,1610,0.06537952274084091,0.2,1000.0,1000.0
1000.0,162,154,1000.0,331776,2150,,,,,,,,,,,,,
1000.0,163,155,1000.0,333824,2151,9.735236022834216e-06,-0.545366644859314,0.009256789,0.007433781956206076,1.3156466320157052,0.137744140625,-0.004556908737868071,0.0003,1620,0.06446685642004013,0.2,,
1000.0,164,155,1000.0,335872,2153,1.6988534170536695e-05,-0.9736734628677368,0.015212922,0.005835211731027812,1.336313320696354,0.152392578125,0.002704177750274539,0.0003,1630,0.06284942477941513,0.2,,
1000.0,165,156,1000.0,337920,2155,6.673416017690669e-05,-0.901473879814148,0.012811428,0.006749729123839643,1.3558164469897747,0.178271484375,0.010011349804699421,0.0003,1640,0.06182149052619934,0.2,,
1000.0,166,157,1000.0,339968,2156,0.0002624266454319013,-0.10326564311981201,0.0140014505,0.0032198693283135072,1.3814014844596385,0.180419921875,0.006320963613688946,0.0003,1650,0.059367381036281586,0.2,,
,,,,340000,,0.00019235565054032122,0.002590656280517578,0.023087326,0.0066505037524621,1.418375350534916,0.18759765625,-0.0022196993231773376,0.0003,1660,0.05768747255206108,0.2,1000.0,1000.0
1000.0,167,159,1000.0,342016,2148,,,,,,,,,,,,,
1000.0,168,159,1000.0,344064,2150,5.5772946564047746e-05,-0.0038330554962158203,0.009908365,0.005678691159118898,1.4457726784050464,0.176806640625,-0.001611372921615839,0.0003,1670,0.056295305490493774,0.2,,
1000.0,169,160,1000.0,346112,2152,1.2606834590656036e-05,-0.0037478208541870117,0.031061023,0.009297725002397783,1.464590847492218,0.210595703125,0.029095344245433807,0.0003,1680,0.055685803294181824,0.2,,
1000.0,170,161,1000.0,348160,2154,1.3079347834832333e-05,-0.004859328269958496,0.0070634317,0.005762492222129367,1.4802240289747715,0.1828125,-0.006555009167641401,0.0003,1690,0.05451289564371109,0.2,,
,,,,350000,,1.4655576990207919e-05,-0.009860038757324219,0.018089658,0.009424807771574705,1.4969727657735348,0.28359375,0.008341386914253235,0.0003,1700,0.05391953885555267,0.2,1000.0,1000.0
1000.0,171,163,1000.0,350208,2146,,,,,,,,,,,,,
1000.0,172,163,1000.0,352256,2148,1.1360838513496674e-05,-0.02010190486907959,0.013763285,0.010411781092989259,1.5080402329564095,0.2263671875,-0.020505599677562714,0.0003,1710,0.05309610068798065,0.2,,
1000.0,173,164,1000.0,354304,2150,0.00015845421278584126,-0.02931499481201172,0.029121358,0.007257095749082509,1.5295660354197025,0.238330078125,-0.018143780529499054,0.0003,1720,0.05177201330661774,0.2,,
1000.0,174,165,1000.0,356352,2151,3.067983740834279e-06,-0.02691340446472168,0.018686604,0.006033866901998408,1.5581211410462856,0.224072265625,-0.008154353126883507,0.0003,1730,0.050173114985227585,0.2,,
1000.0,175,166,1000.0,358400,2153,3.5239379201357224e-06,-0.02466583251953125,0.013852889,0.008166742500907275,1.5835745304822921,0.194873046875,-0.005115262698382139,0.0003,1740,0.04925739765167236,0.2,,
,,,,360000,,1.1040861238598154e-06,-0.0949549674987793,0.047847413,0.009027280239388346,1.606785499304533,0.225341796875,-0.0053742872551083565,0.0003,1750,0.04797370731830597,0.2,1000.0,1000.0
1000.0,176,167,1000.0,360448,2146,,,,,,,,,,,,,
1000.0,177,168,1000.0,362496,2147,6.46598656715014e-06,-0.15007615089416504,0.013651523,0.005697861887165345,1.6280334286391736,0.18837890625,0.02936731092631817,0.0003,1760,0.047213874757289886,0.2,,
1000.0,178,169,1000.0,364544,2149,1.0706067385513052e-05,-0.25205981731414795,0.014313093,0.00830841913848417,1.6405017964541913,0.1876953125,0.0010783259058371186,0.0003,1770,0.04644466191530228,0.2,,
1000.0,179,170,1000.0,366592,2151,1.0654097224005455e-06,-0.2633359432220459,0.022682019,0.01225875626259949,1.6551958158612252,0.235400390625,-0.00984431803226471,0.0003,1780,0.046081654727458954,0.2,,
1000.0,180,171,1000.0,368640,2152,1.0903994481736846e-05,-0.5882221460342407,0.032827735,0.015035444987006485,1.6654974393546582,0.2787109375,-0.001283495337702334,0.0003,1790,0.04548902064561844,0.2,,
,,,,370000,,0.00019331217820592884,-0.47917473316192627,0.02132339,0.0057106368934910275,1.675658392906189,0.202099609375,0.015651868656277657,0.0003,1800,0.04499433562159538,0.2,1000.0,1000.0
1000.0,181,172,1000.0,370688,2144,,,,,,,,,,,,,
1000.0,182,173,1000.0,372736,2145,1.09355780068654e-05,-0.8626464605331421,0.011585312,0.014081319008255377,1.6831830881536007,0.216455078125,-0.012103856541216373,0.0003,1810,0.04496842622756958,0.2,,
1000.0,183,174,1000.0,374784,2145,9.716245585877914e-08,-0.9600507020950317,0.023957875,0.012572601165447849,1.6868574000895022,0.254638671875,-0.038411468267440796,0.0003,1820,0.044631555676460266,0.2,,
1000.0,184,175,1000.0,376832,2144,0.0017597043855602124,-1.184593915939331,0.014683412,0.009125141630647704,1.7065094254910946,0.206201171875,-0.006086553912609816,0.0003,1830,0.0433269739151001,0.2,,
1000.0,185,176,1000.0,378880,2145,1.0538643095969746e-07,-1.8495736122131348,0.041200735,0.011429531332396436,1.7262535035610198,0.2140625,0.061034370213747025,0.0003,1840,0.04282505810260773,0.2,,
,,,,380000,,4.260394632638054e-08,-1.042701244354248,0.040208887,0.009550748299443513,1.7392887480556964,0.237255859375,-0.016675682738423347,0.0003,1850,0.042174726724624634,0.2,1000.0,1000.0
1000.0,186,178,1000.0,380928,2138,,,,,,,,,,,,,
1000.0,187,179,1000.0,382976,2139,5.571091605816037e-08,-2.077982187271118,0.008843249,0.010830470777000301,1.7536366738379001,0.244384765625,0.0063156140968203545,0.0003,1860,0.0415278784930706,0.2,,
1000.0,188,179,1000.0,385024,2140,3.7306584488305816e-07,-2.993821382522583,0.027486801,0.01119649965839926,1.7729445390403271,0.236181640625,-0.008066118694841862,0.0003,1870,0.040895670652389526,0.2,,
1000.0,189,180,1000.0,387072,2140,1.508791788751296e-06,-6.869983196258545,0.021195095,0.010638591447059299,1.7845924913883209,0.24609375,0.030512144789099693,0.0003,1880,0.0403282567858696,0.2,,
1000.0,190,181,1000.0,389120,2141,7.210360593035148e-08,-3.9747323989868164,0.06372397,0.015018117865838575,1.7981670461595058,0.2919921875,0.05131993442773819,0.0003,1890,0.03974060341715813,0.2,,
,,,,390000,,5.046776152539678e-08,-4.791772842407227,0.035691395,0.01680747455538949,1.8037556499242782,0.2546875,0.012838782742619514,0.0003,1900,0.0398450568318367,0.2,1000.0,1000.0
1000.0,191,183,1000.0,391168,2133,,,,,,,,,,,,,
1000.0,192,184,1000.0,393216,2134,3.414926652567374e-08,-4.435265064239502,0.027580712,0.015508626955852377,1.8023606263101102,0.283984375,0.02834823913872242,0.0003,1910,0.03993191570043564,0.2,,
1000.0,193,185,1000.0,395264,2135,1.0724308765475144e-07,-6.154430866241455,0.03530426,0.022557345216046087,1.804928035289049,0.308203125,-0.0010684308363124728,0.0003,1920,0.03956243023276329,0.2,,
1000.0,194,185,1000.0,397312,2137,2.3525553558556566e-07,-6.910678386688232,0.020889075,0.016491163670434617,1.8190008409321308,0.253662109375,0.0233991090208292,0.0003,1930,0.03886212036013603,0.2,,
1000.0,195,186,1000.0,399360,2137,0.0019365238374859928,-5.726922512054443,0.027263876,0.011352884679217823,1.8320020496845246,0.22138671875,0.020678706467151642,0.0003,1940,0.03844986855983734,0.2,,
,,,,400000,,2.4923587886860333e-07,-0.40072381496429443,0.025338497,0.014024750451790169,1.8363166347146034,0.2900390625,0.0004141198005527258,0.0003,1950,0.038709115236997604,0.2,1000.0,1000.0
1000.0,196,188,1000.0,401408,2129,,,,,,,,,,,,,
1000.0,197,189,1000.0,403456,2130,1.567708608263274e-07,-1.3225946426391602,0.032273807,0.008633446959720459,1.8269246317446233,0.281201171875,0.00044745896593667567,0.0003,1960,0.03901064023375511,0.2,,
1000.0,198,190,1000.0,405504,2131,2.0619664837795425e-07,-2.45330810546875,0.023779152,0.01398998828663025,1.8227106466889382,0.292431640625,0.0026610575150698423,0.0003,1970,0.03916821628808975,0.2,,
1000.0,199,191,1000.0,407552,2133,1.47291356711321e-07,-1.7352914810180664,0.025608107,0.009626120761095081,1.818119440227747,0.205224609375,0.004426305647939444,0.0003,1980,0.03930424153804779,0.2,,
1000.0,200,191,1000.0,409600,2133,1.22048948014708e-07,-2.8465120792388916,0.027388807,0.014400583796668798,1.8172611884772778,0.292333984375,-0.021013062447309494,0.0003,1990,0.03924406319856644,0.2,,
,,,,410000,,2.4762224768437593e-07,-2.452342987060547,0.030642094,0.016294013448350596,1.8132762670516969,0.305126953125,0.016339696943759918,0.0003,2000,0.03967590630054474,0.2,1000.0,1000.0
1000.0,201,193,1000.0,411648,2126,,,,,,,,,,,,,
1000.0,202,194,1000.0,413696,2127,0.00012564394110938792,-6.412029266357422,0.017339543,0.012819235557253705,1.8168700166046619,0.27529296875,0.016225896775722504,0.0003,2010,0.03920070081949234,0.2,,
1000.0,203,195,1000.0,415744,2127,9.852298035184504e-08,-7.422285079956055,0.01240793,0.012352414316410432,1.8282776288688183,0.228076171875,0.002942448714748025,0.0003,2020,0.038544684648513794,0.2,,
1000.0,204,196,1000.0,417792,2129,3.4173629899214574e-07,-7.047806739807129,0.05293785,0.013623502642440144,1.8380041353404521,0.273291015625,0.04585471749305725,0.0003,2030,0.03840496018528938,0.2,,
1000.0,205,197,1000.0,419840,2129,1.6284423054457875e-07,-5.928684711456299,0.024014374,0.01681286346865818,1.846903671324253,0.272265625,0.0552690215408802,0.0003,2040,0.038038935512304306,0.2,,
,,,,420000,,3.031971971267922e-08,-4.921821594238281,0.008590105,0.010326883631933015,1.8639979027211666,0.234716796875,-0.004704009275883436,0.0003,2050,0.03710825741291046,0.2,1000.0,1000.0
1000.0,206,198,1000.0,421888,2122,,,,,,,,,,,,,
1000.0,207,199,1000.0,423936,2123,0.0005748700074576618,-7.431748390197754,0.020431953,0.01275787805643631,1.8857259593904019,0.2419921875,-0.025091364979743958,0.0003,2060,0.036443013697862625,0.2,,
1000.0,208,200,1000.0,425984,2124,1.0891091960729683e-06,-6.311404705047607,0.041387044,0.018075985566247253,1.8975479900836945,0.350439453125,0.010521291755139828,0.0003,2070,0.036185767501592636,0.2,,
1000.0,209,201,1000.0,428032,2125,1.1422628745094699e-07,-5.264774799346924,0.011587363,0.009038339805556461,1.9107781492173672,0.181494140625,0.05823554843664169,0.0003,2080,0.035487037152051926,0.2,,
,,,,430000,,1.097076022915644e-07,-8.663799285888672,0.07984623,0.018757777982682456,1.9330003336071968,0.286328125,0.013009577058255672,0.0003,2090,0.034859076142311096,0.2,1000.0,1000.0
1000.0,210,202,1000.0,430080,2118,,,,,,,,,,,,,
1000.0,211,203,1000.0,432128,2119,2.08574405348827e-05,-8.357756614685059,0.015009164,0.00976713468116941,1.9369026280939579,0.278125,-0.0015794045757502317,0.0003,2100,0.03486093133687973,0.2,,
1000.0,212,204,1000.0,434176,2120,0.0011220623218946458,-7.221083641052246,0.013277825,0.010690461683407194,1.9338829584419728,0.29228515625,-0.006860901601612568,0.0003,2110,0.03494609519839287,0.2,,
1000.0,213,205,1000.0,436224,2121,5.514024508102011e-08,-5.343611717224121,0.038641125,0.013782505760900676,1.9412164628505706,0.280615234375,-0.003606675658375025,0.0003,2120,0.03458532691001892,0.2,,
1000.0,214,206,1000.0,438272,2122,3.8343904407156514e-08,-6.118450164794922,0.10548529,0.018023925105808303,1.9514644891023636,0.319921875,0.022787384688854218,0.0003,2130,0.03412153199315071,0.2,,
,,,,440000,,4.7210917841766786e-08,-6.021605014801025,0.014202112,0.015648009850701784,1.961793553829193,0.26083984375,0.003956765867769718,0.0003,2140,0.03397674858570099,0.2,1000.0,1000.0
1000.0,215,208,1000.0,440320,2115,,,,,,,,,,,,,
1000.0,216,209,1000.0,442368,2115,3.261832830503408e-08,-3.906865119934082,0.029444616,0.01812667009726283,1.9676050156354905,0.307275390625,0.01527635008096695,0.0003,2150,0.0338362492620945,0.2,,
1000.0,217,209,1000.0,444416,2116,4.3746388200816e-08,-5.353634357452393,0.02720005,0.015164639748400077,1.9749495938420296,0.321240234375,0.003524844069033861,0.0003,2160,0.03332284092903137,0.2,,
1000.0,218,210,1000.0,446464,2117,3.778062023229722e-08,-8.542859077453613,0.034595802,0.011891369221848436,1.9912861913442612,0.224072265625,0.043730683624744415,0.0003,2170,0.03279183804988861,0.2,,
1000.0,219,211,1000.0,448512,2118,7.8570562322966e-08,-6.960961818695068,0.035659626,0.018196698529936838,1.9988191820681096,0.30673828125,-0.00029944104608148336,0.0003,2180,0.032748766243457794,0.2,,
,,,,450000,,6.48799840519132e-08,-6.491047382354736,0.015346222,0.012638695316854864,2.005186538770795,0.282763671875,0.006137675140053034,0.0003,2190,0.03248417004942894,0.2,1000.0,1000.0
1000.0,220,213,1000.0,450560,2111,,,,,,,,,,,,,
1000.0,221,214,1000.0,452608,2112,5.8432348737369466e-08,-7.302149772644043,0.0407069,0.013664178032195195,2.015998986363411,0.2767578125,0.06786002963781357,0.0003,2200,0.03202420845627785,0.2,,
1000.0,222,215,1000.0,454656,2113,1.9676200508911278e-07,-5.522572994232178,0.026641741,0.012060708038916346,2.0236306577920913,0.3068359375,-0.022458158433437347,0.0003,2210,0.03189512714743614,0.2,,
1000.0,223,216,1000.0,456704,2114,0.0007891379959886535,-6.8892388343811035,0.028592102,0.015662610073923132,2.0230044901371,0.304052734375,0.011843839660286903,0.0003,2220,0.0320432074368,0.2,,
1000.0,224,216,1000.0,458752,2114,0.00023923433469974498,-0.03279435634613037,0.0215334,0.012335332864313386,2.0067113760858772,0.27548828125,0.04789187014102936,0.0003,2230,0.0328722782433033,0.2,,
,,,,460000,,0.001056310285730433,-0.02128434181213379,0.09082885,0.016614741954253987,1.9846425533294678,0.3162109375,0.03968897834420204,0.0003,2240,0.033671796321868896,0.2,1000.0,1000.0
1000.0,225,218,1000.0,460800,2108,,,,,,,,,,,,,
1000.0,226,219,1000.0,462848,2109,3.136298917922886e-05,0.11620992422103882,0.024111431,0.019265413501125296,1.9611946888267995,0.335302734375,-0.01432127971202135,0.0003,2250,0.03437988460063934,0.2,,
1000.0,227,220,1000.0,464896,2110,3.3454186223025316e-06,-0.31892621517181396,0.04517493,0.017414020869182423,1.942348063737154,0.3345703125,0.05768947675824165,0.0003,2260,0.03495965898036957,0.2,,
1000.0,228,221,1000.0,466944,2111,1.4914010364464049e-07,-0.716286301612854,0.049956314,0.020526100804272574,1.924288722127676,0.279833984375,0.030071189627051353,0.0003,2270,0.035649850964546204,0.2,,
1000.0,229,222,1000.0,468992,2111,1.6057684604220412e-07,-1.0568504333496094,0.036648095,0.011810146282368806,1.901994663476944,0.306005859375,-0.003282379126176238,0.0003,2280,0.036777812987565994,0.2,,
,,,,470000,,0.0006428552530508113,-1.5364899635314941,0.06393294,0.01212675498391036,1.8825819745659829,0.297314453125,-0.004152446519583464,0.0003,2290,0.0368635468184948,0.2,1000.0,1000.0
1000.0,230,223,1000.0,471040,2105,,,,,,,,,,,,,
1000.0,231,224,1000.0,473088,2106,2.1372847385237037e-06,-0.2824275493621826,0.021881733,0.012459463077539113,1.8881906561553479,0.2583984375,0.004388994537293911,0.0003,2300,0.036375418305397034,0.2,,
1000.0,232,225,1000.0,475136,2107,5.164360632647913e-06,-0.09899115562438965,0.042387877,0.010545255010947585,1.8985170535743237,0.251806640625,0.09997455775737762,0.0003,2310,0.035834502428770065,0.2,,
1000.0,233,226,1000.0,477184,2108,2.8189928116262306e-07,-0.3084375858306885,0.009864279,0.009750592929776758,1.915386577695608,0.234765625,0.0017585738096386194,0.0003,2320,0.03533683344721794,0.2,,
1000.0,234,227,1000.0,479232,2109,1.8501716567698167e-07,-0.4646209478378296,0.02223941,0.010716148214123677,1.926642580330372,0.18544921875,-0.02273031510412693,0.0003,2330,0.035147350281476974,0.2,,
,,,,480000,,1.2295860187805375e-07,-0.5496513843536377,0.019259034,0.01295255106233526,1.939836872369051,0.281298828125,-0.003380992915481329,0.0003,2340,0.03445616737008095,0.2,1000.0,1000.0
1000.0,235,228,1000.0,481280,2102,,,,,,,,,,,,,
1000.0,236,229,1000.0,483328,2103,0.00028870652769796834,-1.378143548965454,0.038290136,0.014291034774214496,1.9589706778526306,0.251806640625,0.006595599930733442,0.0003,2350,0.03388358652591705,0.2,,
1000.0,237,230,1000.0,485376,2104,9.781836922684306e-08,-0.6318529844284058,0.04882134,0.014856412558583543,1.9839084163308143,0.26376953125,8.276246262539644e-06,0.0003,2360,0.032968346029520035,0.2,,
1000.0,238,231,1000.0,487424,2105,1.5491115988197634e-06,-1.5025513172149658,0.016417226,0.0172465352632571,2.001718096062541,0.282177734375,0.017222827300429344,0.0003,2370,0.032543547451496124,0.2,,
1000.0,239,232,1000.0,489472,2107,1.648871972292909e-07,-1.437748908996582,0.034794662,0.014074311518925242,2.0164662092924117,0.270263671875,0.012337654829025269,0.0003,2380,0.031938061118125916,0.2,,
,,,,490000,,2.7213046024598953e-06,-2.8135108947753906,0.039355513,0.01127088365610689,2.035637763142586,0.224169921875,0.054404690861701965,0.0003,2390,0.03136422485113144,0.2,1000.0,1000.0
1000.0,240,234,1000.0,491520,2100,,,,,,,,,,,,,
1000.0,241,234,1000.0,493568,2101,0.0005929606004741572,-3.7314467430114746,0.02703996,0.016758881251735146,2.0510096728801726,0.276025390625,0.0221406202763319,0.0003,2400,0.031029721722006798,0.2,,
1000.0,242,235,1000.0,495616,2102,3.715740319876204e-08,-3.6104211807250977,0.03227996,0.015976240373856854,2.059808026254177,0.245068359375,0.016321847215294838,0.0003,2410,0.03067641146481037,0.2,,
1000.0,243,236,1000.0,497664,2103,3.9788619687897156e-08,-3.024686336517334,0.046297096,0.021769149813917466,2.0692148655653,0.29091796875,0.03929835557937622,0.0003,2420,0.030524427071213722,0.2,,
1000.0,244,237,1000.0,499712,2103,3.182969976478489e-08,-3.9091596603393555,0.009277006,0.008555751004314516,2.07736741900444,0.183935546875,0.0028400542214512825,0.0003,2430,0.03012789413332939,0.2,,
