rollout/ep_len_mean,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/value_loss,train/explained_variance,train/approx_kl,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/loss,train/learning_rate,train/n_updates,train/std,train/clip_range,eval/mean_ep_length,eval/mean_reward
,,,,60000,,0.010301847856953827,-0.04962658882141113,0.004384539,0.0016508883178175892,-1.2106482911854983,0.04169921875,0.003252912312746048,0.0003,290,0.8086358308792114,0.2,1000.0,1000.0
427.64,30,27,427.64,61440,2239,,,,,,,,,,,,,
445.72,31,28,445.72,63488,2248,0.006707458316577685,-0.037805795669555664,0.009395249,-0.0041114935418590905,-1.2035867497324944,0.112841796875,-0.01731681264936924,0.0003,300,0.8037601709365845,0.2,,
463.94,32,29,463.94,65536,2253,0.004258067678824773,-0.07394003868103027,0.0063097216,-0.0033453380514401943,-1.2037534926086664,0.058349609375,-0.027263488620519638,0.0003,310,0.8104984760284424,0.2,,
481.46,33,29,481.46,67584,2261,0.0028517423723315007,-0.06621646881103516,0.0038826107,-0.0007791867406922393,-1.2036828618496656,0.034033203125,-0.0014053289778530598,0.0003,320,0.8003816604614258,0.2,,
499.65,34,30,499.65,69632,2267,0.001847578465924471,-0.09427249431610107,0.0037026154,-1.628298341529444e-05,-1.1956967566162349,0.031982421875,0.016066990792751312,0.0003,330,0.7991418838500977,0.2,,
,,,,70000,,0.001253454773058138,-0.06733894348144531,0.008789478,0.00038231370999710637,-1.1878853633999824,0.0697265625,-0.001417890191078186,0.0003,340,0.7894799113273621,0.2,1000.0,1000.0
517.49,35,32,517.49,71680,2220,,,,,,,,,,,,,
534.4,36,33,534.4,73728,2226,0.0008179690497740922,-0.07907998561859131,0.0051618023,-0.0012573590771353337,-1.1808612421154976,0.048583984375,-0.00599347660318017,0.0003,350,0.7857339382171631,0.2,,
553.08,37,33,553.08,75776,2231,0.0006195661043335576,-0.14058220386505127,0.006173114,-0.001568073393718805,-1.1822716519236565,0.06396484375,-0.012824365869164467,0.0003,360,0.7932736277580261,0.2,,
580.61,38,34,580.61,77824,2237,0.0005378323798311158,-0.1436392068862915,0.0034962585,-0.002119447743461933,-1.1857749082148075,0.05263671875,-0.009721644222736359,0.0003,370,0.7903165817260742,0.2,,
597.69,39,35,597.69,79872,2244,0.0003718101509775806,-0.1289825439453125,0.00487475,0.000444824191799853,-1.1798044566065073,0.03544921875,0.006396476645022631,0.0003,380,0.7864009141921997,0.2,,
,,,,80000,,0.0002065734488240878,-0.12095129489898682,0.0035377638,1.328089347225614e-05,-1.1725546829402447,0.041748046875,-0.006001685746014118,0.0003,390,0.7765606641769409,0.2,1000.0,1000.0
615.8,40,37,615.8,81920,2196,,,,,,,,,,,,,
633.88,41,38,633.88,83968,2189,0.0001687057366410727,-0.11246633529663086,0.0060875043,-0.0005476793645357248,-1.1493422195315361,0.0337890625,0.0076929484494030476,0.0003,400,0.7532612681388855,0.2,,
651.97,42,39,651.97,86016,2193,9.678845111125157e-05,-0.30184900760650635,0.0076986565,-0.001975308339751791,-1.1348477005958557,0.0755859375,-0.00042725930688902736,0.0003,410,0.7521416544914246,0.2,,
669.41,43,40,669.41,88064,2201,7.452889315118227e-05,-0.48414814472198486,0.0033760862,-0.0007008915839833207,-1.126833674684167,0.051025390625,-0.011167293414473534,0.0003,420,0.7432739734649658,0.2,,
,,,,90000,,6.0305804345262005e-05,-0.3079417943954468,0.0032984456,-0.0034584090768476016,-1.1076931122690439,0.054736328125,0.004229971673339605,0.0003,430,0.7225464582443237,0.2,1000.0,1000.0
687.03,44,41,687.03,90112,2172,,,,,,,,,,,,,
704.06,45,42,704.06,92160,2180,4.420950864130191e-05,-0.7108914852142334,0.0025903648,0.0004606326532666571,-1.0900414030998946,0.030810546875,-0.005091947969049215,0.0003,440,0.7169309854507446,0.2,,
721.78,46,43,721.78,94208,2188,2.8366063580165247e-05,-0.6222108602523804,0.0049173646,-0.004399701642250875,-1.0608937203884126,0.0326171875,-0.00745644373819232,0.0003,450,0.6846367716789246,0.2,,
739.99,47,43,739.99,96256,2197,2.2628744605412977e-05,-0.9675731658935547,0.0023278696,0.000922859559796052,-1.0317281752824783,0.027685546875,-0.019048290327191353,0.0003,460,0.6734794974327087,0.2,,
757.71,48,44,757.71,98304,2203,2.4290911034086095e-05,-0.8471881151199341,0.007942952,-0.003365233125077793,-1.0127146888524294,0.092333984375,0.005523828789591789,0.0003,470,0.6591818332672119,0.2,,
,,,,100000,,1.858800912089009e-05,-1.4757061004638672,0.0048173927,-0.0027296920045046134,-0.9877058677375317,0.037255859375,-0.005094156600534916,0.0003,480,0.6416956186294556,0.2,1000.0,1000.0
