time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/std,train/n_updates,train/entropy_loss,train/clip_fraction,train/value_loss,train/loss,train/clip_range,train/approx_kl,eval/mean_ep_length,eval/mean_reward
1898,22,-98.08107201886794,796.9811320754717,43008,21,0.0003,-0.00701882696012035,0.6271849870681763,0.8516157865524292,200,-5.032513269782067,0.028515625,57.65357187930495,0.4626011550426483,0.2,0.0061204256,,
1904,23,-97.84621075925928,811.8518518518518,45056,22,0.0003,-0.0066376031987601895,0.5617607831954956,0.8513119220733643,210,-5.0310038208961485,0.030029296875,50.17869919501245,27.428503036499023,0.2,0.005132331,,
1908,24,-96.962352,840.0,47104,23,0.0003,-0.00837112674198579,-1.111332654953003,0.8286402821540833,220,-4.968855074048042,0.128759765625,0.38078810849692674,0.10436709225177765,0.2,0.0148426425,,
1912,25,-96.49851842105262,853.3333333333334,49152,24,0.0003,-0.011990977823734284,-1.1737079620361328,0.819406270980835,230,-4.8995648011565205,0.141064453125,0.26110080250073225,0.08850492537021637,0.2,0.011800148,,
,,,,50000,,0.0003,-0.008687899461074266,0.07100826501846313,0.8176562190055847,240,-4.876894356310368,0.069677734375,0.08909051998052746,0.026152636855840683,0.2,0.0062920493,1600.0,-63.8007198353298
1793,28,-96.07997994827585,866.2068965517242,51200,25,,,,,,,,,,,,,
1801,29,-95.82034357627118,878.6440677966102,53248,26,0.0003,-0.012213426808011718,0.6460599899291992,0.8134419918060303,250,-4.8583038166165355,0.125244140625,0.07328410240006633,0.010486950166523457,0.2,0.012651353,,
1808,30,-95.36924259677419,888.5967741935484,55296,27,0.0003,-0.01280711145082023,0.7155357003211975,0.8057741522789001,260,-4.827267274260521,0.149658203125,0.05809314255020581,0.009019680321216583,0.2,0.011144203,,
1816,31,-95.09720326562498,886.59375,57344,28,0.0003,-0.0031227886938722804,0.05870532989501953,0.8084126710891724,270,-4.815565410256386,0.065380859375,19.710175396245905,0.350707471370697,0.2,0.0056111654,,
1822,32,-94.69571792307691,897.5692307692308,59392,29,0.0003,-0.004008997490018373,0.6715434789657593,0.8030005097389221,280,-4.810222436487675,0.072314453125,9.664847388211637,3.0126760005950928,0.2,0.00414802,,
