Algorithm,Episode,Step,DistanceError
Vanilla PPO,5,36,0.2823523049848462
Vanilla PPO,5,37,0.23549131031075177
Vanilla PPO,5,38,0.1926823269119263
Vanilla PPO,5,39,0.1561944951621691
Vanilla PPO,5,40,0.1289883155258199
Vanilla PPO,5,41,0.11412741202290543
Vanilla PPO,5,42,0.11238673150574421
Vanilla PPO,5,43,0.12046699212177217
Vanilla PPO,5,44,0.1333494260156437
Vanilla PPO,5,45,0.14717256241195406
Vanilla PPO,5,46,0.15970344144941778
Vanilla PPO,5,47,0.16980531186526823
Vanilla PPO,5,48,0.17696799888207046
Vanilla PPO,5,49,0.18103652811825613
Vanilla PPO,5,50,0.2666532107534745
Vanilla PPO,6,1,1.773439044670646
Vanilla PPO,6,2,3.2635452183081055
Vanilla PPO,6,3,4.422403101802611
Vanilla PPO,6,4,5.262674259742253
Vanilla PPO,6,5,5.807232453492501
Vanilla PPO,6,6,6.092944796321579
Vanilla PPO,6,7,6.1659704101193125
Vanilla PPO,6,8,6.073335807855634
Vanilla PPO,6,9,5.8564818450062885
Vanilla PPO,6,10,5.548970131007495
Vanilla PPO,6,11,5.1776568548174176
Vanilla PPO,6,12,4.765278426050105
Vanilla PPO,6,13,4.33223659441477
Vanilla PPO,6,14,3.896509930294698
Vanilla PPO,6,15,3.472475943538432
Vanilla PPO,6,16,3.0702412627824835
Vanilla PPO,6,17,2.696249200557436
Vanilla PPO,6,18,2.3546104247051125
Vanilla PPO,6,19,2.0480965331380827
Vanilla PPO,6,20,1.7782236329377588
Vanilla PPO,6,21,1.544687526927123
Vanilla PPO,6,22,1.3448946549167755
Vanilla PPO,6,23,1.17418285586585
Vanilla PPO,6,24,1.0267897902698173
Vanilla PPO,6,25,0.8970967214537573
Vanilla PPO,6,26,0.7805802538120347
Vanilla PPO,6,27,0.6741866021866691
Vanilla PPO,6,28,0.5762162302688842
Vanilla PPO,6,29,0.4859559922466857
Vanilla PPO,6,30,0.4032760693923878
Vanilla PPO,6,31,0.3283104920536265
Vanilla PPO,6,32,0.26125120637293814
Vanilla PPO,6,33,0.20225641464781968
Vanilla PPO,6,34,0.15145661902586202
Vanilla PPO,6,35,0.1090905762680773
Vanilla PPO,6,36,0.07587078736701885
Vanilla PPO,6,37,0.053700520443866535
Vanilla PPO,6,38,0.04524892517677226
Vanilla PPO,6,39,0.0484847644456537
Vanilla PPO,6,40,0.05636629325726554
Vanilla PPO,6,41,0.06426769065126905
Vanilla PPO,6,42,0.07055889731994358
Vanilla PPO,6,43,0.0748770921318544
Vanilla PPO,6,44,0.07731232401475613
Vanilla PPO,6,45,0.0781076952226075
Vanilla PPO,6,46,0.07754975038227967
Vanilla PPO,6,47,0.07592131359877839
Vanilla PPO,6,48,0.0734821195500771
Vanilla PPO,6,49,0.07046085446467229
Vanilla PPO,6,50,0.09952882870385647
Vanilla PPO,7,1,1.115128394967776
Vanilla PPO,7,2,1.9256491618196907
Vanilla PPO,7,3,2.592736023238646
Vanilla PPO,7,4,3.12627161995499
Vanilla PPO,7,5,3.5333002960962427
Vanilla PPO,7,6,3.819731708406231
Vanilla PPO,7,7,3.9929235028927805
