Algorithm,RewardMean_Std,RewardStd_Std,DistMean_Std,DistMeanStd_Std,FinalDistMean_Std,FinalDistStd_Std,RewardMean_OOD,RewardStd_OOD,DistMean_OOD,DistMeanStd_OOD,FinalDistMean_OOD,FinalDistStd_OOD,DeltaDistMean_OOD_minus_Std,DeltaFinalDist_OOD_minus_Std
Vanilla PPO,-4.134241698612459,1.7512626467062251,2.2376700618202996,1.091093308695432,0.2207283579194049,0.09161904891304497,-4.136974609165918,1.5388398555139255,2.101317750381587,0.9476261811488689,0.19618776997495618,0.09863240730676577,-0.13635231143871263,-0.024540587944448716
DR-PPO,-4.182127639115788,1.0838916235062896,1.8399999562854163,0.7868166711957337,0.21149480568364135,0.08355176251400069,-4.449814474862069,0.9309803566950188,2.2834333434054876,0.8741469734552866,0.22493171429701228,0.06448589962611351,0.4434333871200713,0.013436908613370935
Meta-LSTM PPO,-6.143005779339001,1.58359289325363,3.538358783939085,1.5980041899347786,0.2374511878425952,0.09300038717156135,-5.348726432956755,1.4369144414394046,3.2921879975482566,1.4936914256981484,0.258971076990208,0.07935225807495196,-0.24617078639082823,0.021519889147612797
