Algorithm,RewardMean,RewardStd,DistMean,DistMeanStd,FinalDistMean,FinalDistStd
Vanilla PPO,-4.134241698612459,1.7512626467062251,2.2376700618202996,1.091093308695432,0.2207283579194049,0.09161904891304497
DR-PPO,-4.182127639115788,1.0838916235062896,1.8399999562854163,0.7868166711957337,0.21149480568364135,0.08355176251400069
Meta-LSTM PPO,-6.143005779339001,1.58359289325363,3.538358783939085,1.5980041899347786,0.2374511878425952,0.09300038717156135
