rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,train/n_updates,train/explained_variance,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/loss,train/value_loss,train/learning_rate,train/std,train/clip_fraction,train/entropy_loss
7.65,0,2048,1,4707,6.65,,,,,,,,,,,
10.05,1,4096,2,3157,9.05,10,0.00014722347259521484,0.2,0.019460514,-0.021877954437513836,2.954758405685425,11.116416943073272,0.0003,0.9556285738945007,0.1716796875,-1.3965882673859595
14.55,2,6144,3,2816,13.55,20,0.14851289987564087,0.2,0.019666744,-0.031231464122538456,5.432960033416748,14.32446762919426,0.0003,0.9122089743614197,0.197314453125,-1.3502144142985344
23.61,3,8192,4,2705,22.61,30,0.13032913208007812,0.2,0.024351815,-0.03217150429845787,16.24466896057129,28.653921979665757,0.0003,0.8775872588157654,0.2013671875,-1.306977017596364
31.26,3,10240,5,2634,30.26,40,0.07852315902709961,0.2,0.010550553,-0.02058230269321939,26.19389533996582,47.78942379951477,0.0003,0.8551675081253052,0.11611328125,-1.2759092666208744
42.92,4,12288,6,2609,41.92,50,0.12732470035552979,0.2,0.008647988,-0.016578209736326243,14.72917652130127,59.68838549256325,0.0003,0.8402588367462158,0.09775390625,-1.2536855645477771
54.74,5,14336,7,2578,53.74,60,0.33713918924331665,0.2,0.0076465774,-0.01197541930305306,26.566059112548828,55.14020591378212,0.0003,0.8307507634162903,0.06591796875,-1.2389437925070523
63.76,6,16384,8,2551,62.76,70,0.5411232709884644,0.2,0.009230902,-0.014436889463104308,25.675662994384766,53.76017488837242,0.0003,0.8156880140304565,0.08798828125,-1.223337636888027
79.58,7,18432,9,2526,78.58,80,0.7335280179977417,0.2,0.0059313443,-0.007514825586986263,19.651079177856445,38.82778861820698,0.0003,0.8049095869064331,0.073828125,-1.2084919337183238
91.85,8,20480,10,2456,90.85,90,0.7897951602935791,0.2,0.007713191,-0.01100966723242891,7.6062517166137695,38.10362439155578,0.0003,0.8027397394180298,0.067529296875,-1.1996572658419609
108.9,9,22528,11,2445,107.9,100,0.7478586435317993,0.2,0.0075595174,-0.011888184252893553,14.889789581298828,49.28822699785233,0.0003,0.7944128513336182,0.082958984375,-1.1940974496304988
125.62,10,24576,12,2438,124.63,110,0.829700767993927,0.2,0.0075856885,-0.016582630496122873,7.021975040435791,33.99274531006813,0.0003,0.7900826334953308,0.0802734375,-1.185934068635106
144.42,11,26624,13,2413,143.45,120,0.5923627614974976,0.2,0.0058564865,-0.0072316405137826225,10.377861022949219,30.802539712935687,0.0003,0.7801693081855774,0.051953125,-1.177106936275959
162.57,11,28672,14,2408,161.62,130,-0.6047964096069336,0.2,0.008701248,-0.005417666649009334,0.3845685124397278,9.486926536797545,0.0003,0.7516366839408875,0.054833984375,-1.1587536305189132
181.52,12,30720,15,2393,180.59,140,0.007221639156341553,0.2,0.008366768,0.00026986996381310745,0.07730158418416977,6.703354016545927,0.0003,0.7510779500007629,0.056494140625,-1.1324977327138186
200.25,13,32768,16,2389,199.34,150,-0.010534286499023438,0.2,0.010057609,0.0018645967880729585,0.21167607605457306,4.08661015885591,0.0003,0.7579833269119263,0.06025390625,-1.1335665699094535
219.15,14,34816,17,2389,218.26,160,-0.017891883850097656,0.2,0.0076139164,0.0006701228368910961,0.06869551539421082,2.544700568915869,0.0003,0.7530691027641296,0.065576171875,-1.1390053976327181
237.47,15,36864,18,2384,236.6,170,-0.013078570365905762,0.2,0.006899004,-0.002305449056439102,0.007249082438647747,1.5321080438174248,0.0003,0.7595378160476685,0.07001953125,-1.1384122889488935
256.07,16,38912,19,2377,255.22,180,0.007336974143981934,0.2,0.0051784543,0.0005019285104935989,0.06910385191440582,0.907797564791872,0.0003,0.7590928673744202,0.029150390625,-1.1421652551740409
278.39,17,40960,20,2375,277.56,190,-0.024329781532287598,0.2,0.0041822502,0.0003140583648928441,0.01888386718928814,0.5521023103799962,0.0003,0.7783254384994507,0.047705078125,-1.1528011672198772
297.34,18,43008,21,2378,296.53,200,0.0016998648643493652,0.2,0.0022342713,-0.0031572056439472364,9.594158172607422,59.76602603457868,0.0003,0.7750508785247803,0.037255859375,-1.165106152743101
316.11,18,45056,22,2376,315.32,210,-1.645042896270752,0.2,0.00850076,-0.007812001160345972,0.10904723405838013,0.5233702385099605,0.0003,0.7765573263168335,0.118896484375,-1.1632854942232371
335.27,19,47104,23,2372,334.5,220,-1.0944182872772217,0.2,0.0074422946,-0.009254743465862702,-0.020069368183612823,0.16330317618849222,0.0003,0.7440043687820435,0.058544921875,-1.14553786739707
353.97,20,49152,24,2373,353.22,230,-0.06512081623077393,0.2,0.0057306667,-0.00251638410409214,-0.009772902354598045,0.0924553335080418,0.0003,0.7581774592399597,0.07294921875,-1.1313084654510022
