rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,time/fps,time/total_timesteps,time/time_elapsed,rollout/exploration_rate,train/learning_rate,train/n_updates,train/loss
-86.18161390000002,106.37,384,2709,38003,14,0.7743571874999999,0.00025,7000,3.1345314979553223
-83.9288807,106.18,388,2703,38424,14,0.7718574999999999,0.00025,7105,2.142162799835205
-84.54855712999999,97.96,392,2696,38848,14,0.76934,0.00025,7211,0.8441181778907776
-84.35343684,97.91,396,2688,39277,14,0.7667928125,0.00025,7319,0.9943998456001282
-81.8644633,97.2,400,2682,39627,14,0.7647146875000002,0.00025,7406,1.1155047416687012
-81.02902825,97.15,404,2671,39999,14,0.7625059375000001,0.00025,7499,1.829433560371399
-79.13521277,97.95,408,2664,40454,15,0.7598043750000001,0.00025,7613,1.6794160604476929
-77.54387063,97.65,412,2659,40810,15,0.757690625,0.00025,7702,0.37581866979599
-76.89911592,96.28,416,2654,41099,15,0.7559746875,0.00025,7774,0.9300664067268372
-75.70063155000001,95.77,420,2649,41423,15,0.7540509375000001,0.00025,7855,0.4243752658367157
-76.14586141,95.6,424,2644,41755,15,0.7520796875000001,0.00025,7938,0.7965524196624756
-76.73132426000001,96.21,428,2640,42156,15,0.7496987500000001,0.00025,8038,8.452908515930176
-77.37856064,96.42,432,2629,42523,16,0.7475196875000001,0.00025,8130,0.34227946400642395
-77.39002259,96.15,436,2624,42851,16,0.7455721874999999,0.00025,8212,2.315922737121582
-75.64230714,95.88,440,2619,43281,16,0.7430190625,0.00025,8320,3.062873601913452
-76.69749022,95.42,444,2615,43670,16,0.740709375,0.00025,8417,0.5815244913101196
-77.47229893000001,95.89,448,2609,44156,16,0.73782375,0.00025,8538,0.5489856004714966
-77.24071232,96.28,452,2604,44615,17,0.7350984375000001,0.00025,8653,0.9276687502861023
-76.58697579999999,96.35,456,2594,45004,17,0.7327887500000001,0.00025,8750,0.9387385845184326
-75.89723604999999,97.06,460,2590,45418,17,0.730330625,0.00025,8854,0.7900031805038452
-75.62617456,97.09,464,2585,45821,17,0.7279378124999999,0.00025,8955,1.6277130842208862
-75.27370541,97.05,468,2579,46223,17,0.7255509375,0.00025,9055,1.0703542232513428
-75.69883603,98.3,472,2574,46675,18,0.7228671874999999,0.00025,9168,2.134063243865967
-74.72405713,97.73,476,2571,46998,18,0.720949375,0.00025,9249,0.4407334625720978
-74.65102345,98.18,480,2561,47463,18,0.7181884375,0.00025,9365,0.802056074142456
-73.93024842000001,98.89,484,2555,47892,18,0.71564125,0.00025,9472,0.2579655051231384
-73.26183239000001,98.77,488,2551,48301,18,0.7132128124999999,0.00025,9575,2.3100368976593018
-73.97105689000001,98.61,492,2547,48709,19,0.7107903124999999,0.00025,9677,0.34040069580078125
-75.13902031999999,98.49,496,2543,49126,19,0.708314375,0.00025,9781,1.323746919631958
-75.06040532000002,98.51,500,2540,49478,19,0.706224375,0.00025,9869,0.3269719183444977
-74.54600889,98.38,504,2533,49837,19,0.7040928125000001,0.00025,9959,2.5248756408691406
-74.89256252999999,98.83,508,2528,50337,19,0.7011240625000001,0.00025,10084,12.001235008239746
-76.56296335,99.08,512,2524,50718,20,0.6988618750000001,0.00025,10179,1.2250635623931885
-76.77349422,99.94,516,2521,51093,20,0.6966353125,0.00025,10273,1.019073247909546
-76.52435480999999,100.62,520,2518,51485,20,0.6943078125,0.00025,10371,0.7164102792739868
-75.34739598000002,100.57,524,2515,51812,20,0.69236625,0.00025,10452,0.8382241725921631
-75.18910960000001,100.56,528,2507,52212,20,0.68999125,0.00025,10552,1.314434289932251
-72.76489636000002,100.35,532,2504,52558,20,0.6879368749999999,0.00025,10639,3.2777206897735596
