time/iterations,time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/clip_fraction,train/policy_gradient_loss,train/std,train/approx_kl,train/explained_variance,train/loss,train/clip_range,train/entropy_loss,train/learning_rate,train/value_loss,train/n_updates,eval/mean_reward,eval/mean_ep_length
,,25000,,,,0.015380859375,-0.0024148857715772464,0.8729645013809204,0.0025192648,0.0005638003349304199,4277.68798828125,0.2,-1.2908754106611013,0.0003,8619.299111938477,120,-1227.649088600278,200.0
13,2686,26624,200.0,9,-1204.6222622,,,,,,,,,,,,,
14,2691,28672,200.0,10,-1206.5153367399998,0.006884765625,-0.0006486032230895944,0.8709481954574585,0.0011284151,0.0005168318748474121,2562.359130859375,0.2,-1.2818907782435418,0.0003,5896.67322845459,130,,
,,30000,,,,0.006591796875,-0.0006288540906098205,0.868961751461029,0.0019603916,0.0002613663673400879,3231.389892578125,0.2,-1.2797121424227953,0.0003,7381.888314819336,140,-1022.8775075629353,200.0
15,2663,30720,200.0,11,-1207.8208170599999,,,,,,,,,,,,,
16,2669,32768,200.0,12,-1199.5155621099998,0.033837890625,-0.0038127831227029673,0.871161937713623,0.004491655,0.0003161430358886719,3034.06689453125,0.2,-1.2782661698758602,0.0003,6577.233386230469,150,,
17,2677,34816,200.0,13,-1207.46329549,0.020654296875,-0.0028843226216849873,0.8878345489501953,0.0035263516,0.000307619571685791,2387.301025390625,0.2,-1.2926360312849283,0.0003,4887.979544067382,160,,
,,35000,,,,0.033935546875,-0.003095004355418496,0.8727657198905945,0.0032342873,0.00015503168106079102,2684.2021484375,0.2,-1.2904965713620187,0.0003,6075.86396484375,170,-1255.1379199488088,200.0
18,2650,36864,200.0,13,-1190.6108611500001,,,,,,,,,,,,,
19,2648,38912,200.0,14,-1186.02967464,0.01103515625,-0.0019141261596814728,0.864725649356842,0.002879869,0.0001831650733947754,2095.20947265625,0.2,-1.2794634602963924,0.0003,4923.878681945801,180,,
,,40000,,,,0.018896484375,-0.002557294545840705,0.8689208626747131,0.0033124934,0.00011992454528808594,2050.755126953125,0.2,-1.2774939753115178,0.0003,4537.107652282715,190,-1022.2547076979652,200.0
20,2609,40960,200.0,15,-1175.6937687399998,,,,,,,,,,,,,
21,2613,43008,200.0,16,-1184.58119794,0.02119140625,-0.001880607649218291,0.8828625082969666,0.0038954164,7.56382942199707e-05,2325.595703125,0.2,-1.285120901837945,0.0003,5362.50885925293,200,,
,,45000,,,,0.0203125,-0.002650625957903685,0.8925851583480835,0.004036043,5.424022674560547e-05,2178.839599609375,0.2,-1.2989708736538887,0.0003,5557.495701599121,210,-1030.3932317346334,200.0
22,2602,45056,200.0,17,-1179.48096413,,,,,,,,,,,,,
23,2610,47104,200.0,18,-1174.46548545,0.03154296875,-0.005256151828507427,0.9074394702911377,0.0044274973,5.435943603515625e-05,2162.255126953125,0.2,-1.3132186986505985,0.0003,5234.059227752686,220,,
24,2606,49152,200.0,18,-1148.7653079900003,0.023828125,-0.0015240640277625062,0.8934831619262695,0.003358265,5.9545040130615234e-05,2054.68408203125,0.2,-1.3130604404956103,0.0003,4485.727543640137,230,,
,,50000,,,,0.026708984375,-0.001605248192208819,0.907347559928894,0.0034909304,6.020069122314453e-05,1461.314208984375,0.2,-1.3122695434838534,0.0003,3162.5206035614015,240,-1028.633526673168,200.0
25,2586,51200,200.0,19,-1132.88092993,,,,,,,,,,,,,
26,2589,53248,200.0,20,-1144.49870315,0.02041015625,-0.0029143610066967086,0.8947349190711975,0.0032160545,3.743171691894531e-05,1338.4013671875,0.2,-1.3163060467690229,0.0003,3602.6036628723145,250,,
,,55000,,,,0.010546875,-0.0009903149344609118,0.8874444961547852,0.003212222,1.5556812286376953e-05,2264.787109375,0.2,-1.3040495704859496,0.0003,4772.0618301391605,260,-1241.5321970164775,200.0
27,2578,55296,200.0,21,-1134.72070502,,,,,,,,,,,,,
