time/iterations,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,train/loss,train/approx_kl,train/clip_fraction,train/entropy_loss,train/n_updates,train/value_loss,train/clip_range,train/policy_gradient_loss,train/std,train/learning_rate,train/explained_variance
1,7.65,3890,0,7.65,2048,,,,,,,,,,,
2,10.19,2468,1,10.19,4096,2.562638759613037,0.019371752,0.172509765625,-1.3970668748021127,10,13.02467526718974,0.2,-0.021612901949265507,0.9545564651489258,0.0003,0.0001304149627685547
3,15.79,2260,2,15.79,6144,4.754187107086182,0.02495503,0.1953125,-1.3397498808801174,20,13.09841300547123,0.2,-0.03179458608210552,0.8985257744789124,0.0003,0.14954841136932373
4,23.26,2176,3,23.26,8192,13.343159675598145,0.022807123,0.20166015625,-1.2920749984681605,30,25.036651885509492,0.2,-0.02991068071423797,0.8648617267608643,0.0003,0.139043390750885
5,31.25,2154,4,31.25,10240,23.917156219482422,0.009999363,0.1177734375,-1.2593152556568383,40,43.02529618144035,0.2,-0.02148499414179241,0.840985894203186,0.0003,0.10869467258453369
6,40.88,2113,5,40.88,12288,18.226900100708008,0.0077302977,0.101513671875,-1.2362570535391568,50,51.09986676573753,0.2,-0.01769626254681498,0.8242467641830444,0.0003,0.15842342376708984
7,50.59,2085,6,50.59,14336,23.105762481689453,0.0077544213,0.07216796875,-1.2213166572153569,60,40.747744315862654,0.2,-0.012301067571388557,0.8165631294250488,0.0003,0.4762495160102844
8,60.83,2084,7,60.83,16384,28.023578643798828,0.014181435,0.118212890625,-1.2055370509624481,70,47.20497488975525,0.2,-0.016727198447915724,0.7992724776268005,0.0003,0.584778904914856
9,69.97,2075,8,69.97,18432,15.23080825805664,0.00931257,0.074609375,-1.1858477737754582,80,35.77051059007645,0.2,-0.0075563109130598605,0.7834612131118774,0.0003,0.7554932236671448
10,80.86,2072,9,80.86,20480,3.661728858947754,0.006840218,0.097021484375,-1.1786108519881964,90,16.690449430048467,0.2,-0.009874083925387822,0.7905150055885315,0.0003,0.9040298461914062
11,91.24,2064,10,91.24,22528,6.004513740539551,0.010751058,0.1068359375,-1.1749535884708167,100,19.48607732206583,0.2,-0.01244116461602971,0.7777446508407593,0.0003,0.9135479927062988
12,106.33,2058,11,106.33,24576,4.5534796714782715,0.0079494845,0.097216796875,-1.1731834910809993,110,20.898649778962135,0.2,-0.008649030012020376,0.7862260341644287,0.0003,0.9185664057731628
13,119.64,2047,13,119.64,26624,5.305515289306641,0.008939339,0.079638671875,-1.178433495014906,120,18.140121260285376,0.2,-0.0087538331412361,0.7875901460647583,0.0003,0.9336386919021606
14,134.54,2050,13,134.54,28672,4.612758636474609,0.011342899,0.12490234375,-1.173405320569873,130,13.249413852393626,0.2,-0.01738847837841604,0.7747369408607483,0.0003,0.9565188884735107
15,153.01,2048,14,153.01,30720,5.277318954467773,0.011048923,0.1166015625,-1.1574130348861218,140,12.800932320952416,0.2,-0.01701229583559325,0.7663965821266174,0.0003,0.957970142364502
16,171.26,2049,15,171.26,32768,1.6227152347564697,0.009615332,0.11923828125,-1.1351580254733562,150,10.082290164381266,0.2,-0.01815734556876123,0.7359819412231445,0.0003,0.9048972129821777
17,189.34,2041,17,189.34,34816,0.33959290385246277,0.009589199,0.09716796875,-1.096749884262681,160,3.885177721362561,0.2,-0.01137597183114849,0.7092492580413818,0.0003,0.6369685530662537
18,207.91,2034,18,207.91,36864,0.0656537413597107,0.012907419,0.07138671875,-1.061708813533187,170,2.3321189768903423,0.2,-0.003376165549707366,0.6844670176506042,0.0003,-0.09314167499542236
