rollout/ep_len_mean,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/time_elapsed,train/std,train/clip_range,train/approx_kl,train/loss,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/clip_fraction,train/entropy_loss,train/n_updates,train/value_loss,eval/mean_reward,eval/mean_ep_length
200.0,6193,2048,-1190.8826377999999,1,0,,,,,,,,,,,,,
200.0,3812,4096,-1144.3174963000001,2,1,0.9880203604698181,0.2,0.0036137225,4132.3212890625,-0.002291180410247762,0.008196055889129639,0.0003,0.0232421875,-1.4113397173583508,10,8748.601782226562,,
,,5000,,,,0.971548855304718,0.2,0.0020371857,3024.361572265625,-0.0012422732172126417,0.19428658485412598,0.0003,0.004541015625,-1.3981007482856511,20,6994.148213195801,-1068.415444291383,200.0
200.0,3188,6144,-1136.6004046,3,1,,,,,,,,,,,,,
200.0,3079,8192,-1138.3915958999999,4,2,0.9658660292625427,0.2,0.005477583,3094.134765625,-0.00447088315122528,0.07235896587371826,0.0003,0.0376953125,-1.3882449105381967,30,7012.878254699707,,
,,10000,,,,0.9566751718521118,0.2,0.00601751,3456.409423828125,-0.003686397736601066,0.019009888172149658,0.0003,0.04697265625,-1.3791803151369095,40,7326.250978088379,-1096.9263966724277,200.0
200.0,2920,10240,-1176.4663676470589,5,3,,,,,,,,,,,,,
200.0,2868,12288,-1153.960650885246,6,4,0.9477978944778442,0.2,0.0035149497,4174.3212890625,-0.0020177215163130315,0.0032986998558044434,0.0003,0.02216796875,-1.370478281751275,50,9678.673538208008,,
200.0,2863,14336,-1162.0752438873242,7,5,0.9310227632522583,0.2,0.0024323247,2868.864990234375,-0.002026771067176014,0.005700409412384033,0.0003,0.0162109375,-1.3554626774042844,60,5957.870834350586,,
,,15000,,,,0.9313514232635498,0.2,0.0032331068,4053.170166015625,-0.0018790525733493268,0.0017861723899841309,0.0003,0.013330078125,-1.3480595648288727,70,7968.647538757325,-1272.50542306751,200.0
200.0,2796,16384,-1178.1941433703705,8,5,,,,,,,,,,,,,
200.0,2798,18432,-1173.2589084673914,9,6,0.9103946685791016,0.2,0.0021364454,4275.45166015625,-0.0016044202144257723,0.0009325146675109863,0.0003,0.00380859375,-1.3354164902120829,80,8344.034005737305,,
,,20000,,,,0.9114343523979187,0.2,0.0021630062,2819.54833984375,-0.0016290983723592945,0.0014824271202087402,0.0003,0.013134765625,-1.326398118957877,90,6568.353671264648,-1010.8731200902723,200.0
200.0,2751,20480,-1169.8685116700003,10,7,,,,,,,,,,,,,
200.0,2756,22528,-1171.01567033,11,8,0.8967462182044983,0.2,0.0025109416,3517.845458984375,-0.0015224949849653058,0.0008701086044311523,0.0003,0.006201171875,-1.3183842971920967,100,6835.915591430664,,
200.0,2763,24576,-1204.2774969799998,12,8,0.8853296637535095,0.2,0.0023641724,2935.7294921875,-0.0017443039425415919,0.0007029175758361816,0.0003,0.0208984375,-1.3022399548441173,110,6766.826254272461,,
,,25000,,,,0.8729645013809204,0.2,0.0025192648,4277.68798828125,-0.0024148857715772464,0.0005638003349304199,0.0003,0.015380859375,-1.2908754106611013,120,8619.299111938477,-1196.5945731073618,200.0
200.0,2728,26624,-1204.6222622,13,9,,,,,,,,,,,,,
200.0,2735,28672,-1206.5153367399998,14,10,0.8709481954574585,0.2,0.0011284151,2562.359130859375,-0.0006486032230895944,0.0005168318748474121,0.0003,0.006884765625,-1.2818907782435418,130,5896.67322845459,,
,,30000,,,,0.868961751461029,0.2,0.0019603916,3231.389892578125,-0.0006288540906098205,0.0002613663673400879,0.0003,0.006591796875,-1.2797121424227953,140,7381.888314819336,-1094.4722942367196,200.0
200.0,2711,30720,-1207.8208170599999,15,11,,,,,,,,,,,,,
200.0,2719,32768,-1199.5155621099998,16,12,0.871161937713623,0.2,0.004491655,3034.06689453125,-0.0038127831227029673,0.0003161430358886719,0.0003,0.033837890625,-1.2782661698758602,150,6577.233386230469,,
200.0,2725,34816,-1207.46329549,17,12,0.8878345489501953,0.2,0.0035263516,2387.301025390625,-0.0028843226216849873,0.000307619571685791,0.0003,0.020654296875,-1.2926360312849283,160,4887.979544067382,,
